村里代碼,村里,選舉人,里長政黨,投票所數量,平均
09007010-001,連江縣南竿鄉介壽村,1824,中國國民黨,1,1824
09007010-002,連江縣南竿鄉復興村,1066,中國國民黨,1,1066
09007010-004,連江縣南竿鄉清水村,701,中國國民黨,1,701
09007020-001,連江縣北竿鄉塘岐村,913,中國國民黨,1,913
09007020-004,連江縣北竿鄉芹壁村,176,中國國民黨,1,176
09007030-001,連江縣莒光鄉青帆村,403,中國國民黨,1,403
09007030-004,連江縣莒光鄉福正村,239,中國國民黨,1,239
09007040-001,連江縣東引鄉中柳村,469,中國國民黨,1,469
09020010-001,金門縣金城鎮東門里,4747,中國國民黨,2,2374
09020010-003,金門縣金城鎮南門里,5093,無,3,1698
09020010-002,金門縣金城鎮西門里,9296,中國國民黨,5,1859
09020010-004,金門縣金城鎮北門里,3948,中國國民黨,2,1974
09020010-008,金門縣金城鎮賢庵里,4188,中國國民黨,2,2094
09020010-006,金門縣金城鎮金水里,1897,中國國民黨,1,1897
09020010-005,金門縣金城鎮古城里,3350,中國國民黨,2,1675
09020010-007,金門縣金城鎮珠沙里,2660,中國國民黨,2,1330
09020020-001,金門縣金沙鎮汶沙里,4750,中國國民黨,3,1583
09020020-005,金門縣金沙鎮何斗里,1837,中國國民黨,1,1837
09020020-008,金門縣金沙鎮浦山里,2085,中國國民黨,2,1043
09020020-006,金門縣金沙鎮西園里,1436,無,1,1436
09020020-007,金門縣金沙鎮官嶼里,2000,中國國民黨,1,2000
09020020-002,金門縣金沙鎮三山里,1757,中國國民黨,1,1757
09020020-003,金門縣金沙鎮大洋里,1064,中國國民黨,1,1064
09020020-004,金門縣金沙鎮光前里,2133,中國國民黨,2,1067
09020030-001,金門縣金湖鎮新市里,4098,中國國民黨,2,2049
09020030-002,金門縣金湖鎮山外里,3138,中國國民黨,2,1569
09020030-007,金門縣金湖鎮溪湖里,1394,中國國民黨,1,1394
09020030-008,金門縣金湖鎮蓮庵里,1516,中國國民黨,1,1516
09020030-004,金門縣金湖鎮料羅里,1732,中國國民黨,1,1732
09020030-006,金門縣金湖鎮新湖里,6702,中國國民黨,3,2234
09020030-003,金門縣金湖鎮正義里,2313,中國國民黨,1,2313
09020030-005,金門縣金湖鎮瓊林里,2891,中國國民黨,2,1446
09020040-001,金門縣金寧鄉古寧村,3016,中國國民黨,2,1508
09020040-002,金門縣金寧鄉安美村,3838,中國國民黨,3,1279
09020040-004,金門縣金寧鄉湖埔村,5083,中國國民黨,3,1694
09020040-005,金門縣金寧鄉榜林村,4572,中國國民黨,3,1524
09020040-006,金門縣金寧鄉盤山村,5932,無,4,1483
09020040-003,金門縣金寧鄉后盤村,1368,中國國民黨,1,1368
09020050-004,金門縣烈嶼鄉林湖村,3158,中國國民黨,2,1579
09020050-005,金門縣烈嶼鄉黃埔村,1423,中國國民黨,1,1423
09020050-003,金門縣烈嶼鄉西口村,2236,中國國民黨,1,2236
09020050-002,金門縣烈嶼鄉上林村,1295,中國國民黨,1,1295
09020050-001,金門縣烈嶼鄉上岐村,2610,中國國民黨,1,2610
09020060-001,金門縣烏坵鄉大坵村,237,中國國民黨,1,237
09020060-002,金門縣烏坵鄉小坵村,264,中國國民黨,1,264
10002010-036,宜蘭縣宜蘭市民族里,2224,無,2,1112
10002010-037,宜蘭縣宜蘭市建軍里,1574,無,2,787
10002010-044,宜蘭縣宜蘭市泰山里,1963,中國國民黨,2,982
10002010-035,宜蘭縣宜蘭市負郭里,2833,無,3,944
10002010-038,宜蘭縣宜蘭市思源里,3915,無,3,1305
10002010-043,宜蘭縣宜蘭市七結里,2332,無,2,1166
10002010-039,宜蘭縣宜蘭市文化里,2951,無,3,984
10002010-040,宜蘭縣宜蘭市復興里,2722,中國國民黨,3,907
10002010-002,宜蘭縣宜蘭市民權里,1728,無,2,864
10002010-001,宜蘭縣宜蘭市神農里,2562,中國國民黨,3,854
10002010-045,宜蘭縣宜蘭市大新里,781,無,1,781
10002010-018,宜蘭縣宜蘭市新民里,1546,無,2,773
10002010-008,宜蘭縣宜蘭市進士里,1982,中國國民黨,2,991
10002010-009,宜蘭縣宜蘭市南橋里,1110,無,1,1110
10002010-012,宜蘭縣宜蘭市凱旋里,1191,無,1,1191
10002010-011,宜蘭縣宜蘭市南津里,1884,無,2,942
10002010-010,宜蘭縣宜蘭市建業里,1502,無,2,751
10002010-047,宜蘭縣宜蘭市擺厘里,2720,無,3,907
10002010-015,宜蘭縣宜蘭市延平里,2846,中國國民黨,3,949
10002010-041,宜蘭縣宜蘭市成功里,2828,無,3,943
10002010-014,宜蘭縣宜蘭市東村里,2037,無,2,1019
10002010-042,宜蘭縣宜蘭市新東里,2973,中國國民黨,3,991
10002010-013,宜蘭縣宜蘭市黎明里,1728,無,2,864
10002010-016,宜蘭縣宜蘭市七張里,1345,無,1,1345
10002010-023,宜蘭縣宜蘭市孝廉里,1168,無,1,1168
10002010-019,宜蘭縣宜蘭市東門里,967,無,1,967
10002010-021,宜蘭縣宜蘭市小東里,1488,無,2,744
10002010-022,宜蘭縣宜蘭市菜園里,1288,無,1,1288
10002010-017,宜蘭縣宜蘭市慈安里,1633,無,2,817
10002010-046,宜蘭縣宜蘭市中興里,2784,無,3,928
10002010-024,宜蘭縣宜蘭市新生里,2442,無,2,1221
10002010-025,宜蘭縣宜蘭市茭白里,1898,民主進步黨,2,949
10002010-026,宜蘭縣宜蘭市北津里,2146,無,2,1073
10002010-027,宜蘭縣宜蘭市梅洲里,2996,無,3,999
10002010-034,宜蘭縣宜蘭市南門里,1383,無,2,692
10002010-031,宜蘭縣宜蘭市中山里,962,無,1,962
10002010-032,宜蘭縣宜蘭市西門里,1698,無,2,849
10002010-028,宜蘭縣宜蘭市北門里,1154,無,1,1154
10002020-028,宜蘭縣羅東鎮開明里,1390,無,2,695
10002020-004,宜蘭縣羅東鎮大新里,1423,無,1,1423
10002020-005,宜蘭縣羅東鎮東安里,3278,民主進步黨,3,1093
10002020-006,宜蘭縣羅東鎮新群里,2435,無,2,1218
10002020-007,宜蘭縣羅東鎮羅莊里,2853,無,2,1427
10002020-008,宜蘭縣羅東鎮南昌里,2267,無,2,1134
10002020-009,宜蘭縣羅東鎮南豪里,1255,無,1,1255
10002020-010,宜蘭縣羅東鎮成功里,1414,無,1,1414
10002020-011,宜蘭縣羅東鎮仁德里,1167,無,1,1167
10002020-030,宜蘭縣羅東鎮仁和里,1012,無,1,1012
10002020-029,宜蘭縣羅東鎮中山里,1319,民主進步黨,1,1319
10002020-016,宜蘭縣羅東鎮漢民里,3522,中國國民黨,3,1174
10002020-027,宜蘭縣羅東鎮維揚里,2849,無,3,950
10002020-017,宜蘭縣羅東鎮西安里,2701,無,2,1351
