村里代碼,村里,選舉人,里長政黨,投票所數量,平均
10002020-018,宜蘭縣羅東鎮北成里,2586,民主進步黨,3,862
10002020-026,宜蘭縣羅東鎮國華里,4103,民主進步黨,4,1026
10002020-019,宜蘭縣羅東鎮賢文里,3473,無,3,1158
10002020-020,宜蘭縣羅東鎮公正里,2663,無,2,1332
10002020-021,宜蘭縣羅東鎮集祥里,1143,無,1,1143
10002020-022,宜蘭縣羅東鎮信義里,2816,無,3,939
10002020-025,宜蘭縣羅東鎮樹林里,3245,無,3,1082
10002020-023,宜蘭縣羅東鎮竹林里,2849,無,3,950
10002020-024,宜蘭縣羅東鎮仁愛里,3299,無,3,1100
10002030-001,宜蘭縣蘇澳鎮龍德里,3177,無,3,1059
10002030-002,宜蘭縣蘇澳鎮頂寮里,904,無,1,904
10002030-003,宜蘭縣蘇澳鎮永榮里,3487,無,3,1162
10002030-004,宜蘭縣蘇澳鎮存仁里,921,無,2,461
10002030-005,宜蘭縣蘇澳鎮港邊里,1351,無,2,676
10002030-007,宜蘭縣蘇澳鎮隘丁里,2630,無,3,877
10002030-008,宜蘭縣蘇澳鎮新城里,1230,無,1,1230
10002030-027,宜蘭縣蘇澳鎮聖愛里,2756,無,3,919
10002030-009,宜蘭縣蘇澳鎮聖湖里,2306,中國國民黨,2,1153
10002030-010,宜蘭縣蘇澳鎮蘇西里,2399,中國國民黨,3,800
10002030-011,宜蘭縣蘇澳鎮蘇北里,1027,無,1,1027
10002030-012,宜蘭縣蘇澳鎮蘇南里,464,無,1,464
10002030-013,宜蘭縣蘇澳鎮蘇東里,544,無,1,544
10002030-014,宜蘭縣蘇澳鎮長安里,537,無,1,537
10002030-015,宜蘭縣蘇澳鎮永光里,441,無,1,441
10002030-016,宜蘭縣蘇澳鎮永春里,607,無,1,607
10002030-017,宜蘭縣蘇澳鎮永樂里,443,無,1,443
10002030-018,宜蘭縣蘇澳鎮南安里,996,中國國民黨,1,996
10002030-019,宜蘭縣蘇澳鎮南正里,959,無,1,959
10002030-020,宜蘭縣蘇澳鎮南成里,1146,無,1,1146
10002030-021,宜蘭縣蘇澳鎮南興里,1486,無,2,743
10002030-022,宜蘭縣蘇澳鎮南寧里,1094,無,1,1094
10002030-023,宜蘭縣蘇澳鎮南建里,1265,無,2,633
10002030-024,宜蘭縣蘇澳鎮東澳里,353,無,1,353
10002030-025,宜蘭縣蘇澳鎮南強里,739,無,1,739
10002030-026,宜蘭縣蘇澳鎮朝陽里,625,無,2,313
10002040-001,宜蘭縣頭城鎮石城里,298,無,1,298
10002040-002,宜蘭縣頭城鎮大里里,667,無,1,667
10002040-024,宜蘭縣頭城鎮龜山里,681,無,1,681
10002040-003,宜蘭縣頭城鎮大溪里,865,中國國民黨,1,865
10002040-004,宜蘭縣頭城鎮合興里,343,無,1,343
10002040-005,宜蘭縣頭城鎮更新里,1311,無,2,656
10002040-006,宜蘭縣頭城鎮外澳里,902,無,1,902
10002040-007,宜蘭縣頭城鎮港口里,653,無,1,653
10002040-008,宜蘭縣頭城鎮武營里,1549,無,2,775
10002040-009,宜蘭縣頭城鎮大坑里,1295,無,2,648
10002040-010,宜蘭縣頭城鎮城東里,712,無,1,712
10002040-011,宜蘭縣頭城鎮城北里,481,無,1,481
10002040-012,宜蘭縣頭城鎮城西里,595,無,1,595
10002040-013,宜蘭縣頭城鎮城南里,619,無,1,619
10002040-014,宜蘭縣頭城鎮竹安里,2122,無,2,1061
10002040-015,宜蘭縣頭城鎮新建里,1896,無,2,948
10002040-016,宜蘭縣頭城鎮拔雅里,1802,無,2,901
10002040-017,宜蘭縣頭城鎮福成里,943,無,1,943
10002040-018,宜蘭縣頭城鎮金面里,1655,中國國民黨,2,828
10002040-019,宜蘭縣頭城鎮金盈里,698,無,1,698
10002040-020,宜蘭縣頭城鎮頂埔里,1334,無,2,667
10002040-021,宜蘭縣頭城鎮下埔里,928,無,1,928
10002040-022,宜蘭縣頭城鎮中崙里,1031,無,1,1031
10002040-023,宜蘭縣頭城鎮二城里,1104,無,1,1104
10002050-001,宜蘭縣礁溪鄉白雲村,1554,無,2,777
10002050-002,宜蘭縣礁溪鄉玉石村,1866,無,2,933
10002050-003,宜蘭縣礁溪鄉德陽村,3777,中國國民黨,3,1259
10002050-004,宜蘭縣礁溪鄉大忠村,2445,中國國民黨,3,815
10002050-005,宜蘭縣礁溪鄉大義村,637,無,1,637
10002050-006,宜蘭縣礁溪鄉六結村,1395,中國國民黨,2,698
10002050-007,宜蘭縣礁溪鄉二龍村,1205,無,1,1205
10002050-008,宜蘭縣礁溪鄉時潮村,1395,無,2,698
10002050-009,宜蘭縣礁溪鄉玉田村,2082,無,2,1041
10002050-010,宜蘭縣礁溪鄉三民村,2411,無,3,804
10002050-011,宜蘭縣礁溪鄉林美村,1123,中國國民黨,1,1123
10002050-012,宜蘭縣礁溪鄉白鵝村,827,無,1,827
10002050-013,宜蘭縣礁溪鄉玉光村,954,無,1,954
10002050-014,宜蘭縣礁溪鄉光武村,1239,無,1,1239
10002050-015,宜蘭縣礁溪鄉吳沙村,2419,無,2,1210
10002050-016,宜蘭縣礁溪鄉龍潭村,3127,無,3,1042
10002050-017,宜蘭縣礁溪鄉匏崙村,923,中國國民黨,1,923
10002050-018,宜蘭縣礁溪鄉二結村,408,無,1,408
10002060-001,宜蘭縣壯圍鄉吉祥村,2319,無,2,1160
10002060-014,宜蘭縣壯圍鄉古結村,999,無,1,999
10002060-002,宜蘭縣壯圍鄉美福村,1664,無,2,832
10002060-003,宜蘭縣壯圍鄉新南村,881,無,1,881
10002060-004,宜蘭縣壯圍鄉東港村,954,無,1,954
10002060-005,宜蘭縣壯圍鄉復興村,1559,無,2,780
10002060-006,宜蘭縣壯圍鄉過嶺村,1533,無,2,767
10002060-007,宜蘭縣壯圍鄉永鎮村,778,無,1,778
10002060-008,宜蘭縣壯圍鄉忠孝村,2195,無,3,732
10002060-009,宜蘭縣壯圍鄉古亭村,1455,無,2,728
10002060-010,宜蘭縣壯圍鄉功勞村,1194,無,1,1194
10002060-011,宜蘭縣壯圍鄉美城村,2029,無,2,1015
10002060-012,宜蘭縣壯圍鄉新社村,1028,無,1,1028
10002060-013,宜蘭縣壯圍鄉大福村,1717,中國國民黨,2,859
10002070-001,宜蘭縣員山鄉員山村,5317,民主進步黨,5,1063
10002070-002,宜蘭縣員山鄉尚德村,2109,無,2,1055
10002070-003,宜蘭縣員山鄉惠好村,1499,無,2,750
10002070-004,宜蘭縣員山鄉七賢村,1254,無,1,1254
10002070-005,宜蘭縣員山鄉深溝村,1739,無,2,870
10002070-006,宜蘭縣員山鄉蓁巷村,1165,無,1,1165
10002070-007,宜蘭縣員山鄉內城村,1407,無,2,704
10002070-008,宜蘭縣員山鄉中華村,646,無,2,323
10002070-009,宜蘭縣員山鄉永和村,1756,無,2,878
10002070-010,宜蘭縣員山鄉頭分村,1274,無,1,1274
10002070-011,宜蘭縣員山鄉枕山村,2236,無,3,745
10002070-012,宜蘭縣員山鄉同樂村,2367,無,3,789
10002070-013,宜蘭縣員山鄉湖東村,843,無,1,843
10002070-014,宜蘭縣員山鄉逸仙村,848,無,1,848
10002070-015,宜蘭縣員山鄉湖北村,964,無,1,964
10002070-016,宜蘭縣員山鄉湖西村,1365,無,2,683
10002080-002,宜蘭縣冬山鄉珍珠村,1534,無,2,767
10002080-003,宜蘭縣冬山鄉補城村,1092,無,1,1092
10002080-004,宜蘭縣冬山鄉三奇村,879,無,1,879
10002080-005,宜蘭縣冬山鄉大興村,908,無,1,908
10002080-006,宜蘭縣冬山鄉東城村,1375,無,1,1375
10002080-007,宜蘭縣冬山鄉香和村,2743,無,2,1372
10002080-008,宜蘭縣冬山鄉南興村,2712,無,2,1356
10002080-010,宜蘭縣冬山鄉安平村,683,無,1,683
10002080-009,宜蘭縣冬山鄉冬山村,797,無,1,797
10002080-011,宜蘭縣冬山鄉太和村,1430,民主進步黨,1,1430
10002080-012,宜蘭縣冬山鄉八寶村,841,無,1,841
10002080-013,宜蘭縣冬山鄉丸山村,1370,無,1,1370
10002080-014,宜蘭縣冬山鄉中山村,473,無,1,473
10002080-015,宜蘭縣冬山鄉順安村,4899,無,4,1225
10002080-016,宜蘭縣冬山鄉永美村,2830,無,2,1415
10002080-001,宜蘭縣冬山鄉武淵村,1139,民主進步黨,1,1139
10002080-017,宜蘭縣冬山鄉群英村,4553,無,4,1138
10002080-018,宜蘭縣冬山鄉清溝村,3550,無,3,1183
10002080-019,宜蘭縣冬山鄉鹿埔村,2259,無,2,1130
10002080-020,宜蘭縣冬山鄉得安村,1068,無,1,1068
10002080-021,宜蘭縣冬山鄉廣興村,2488,無,2,1244
10002080-022,宜蘭縣冬山鄉廣安村,1590,無,2,795
10002080-023,宜蘭縣冬山鄉柯林村,1564,無,1,1564
10002080-024,宜蘭縣冬山鄉大進村,776,無,1,776
10002090-001,宜蘭縣五結鄉三興村,1914,無,2,957
10002090-002,宜蘭縣五結鄉二結村,1755,無,2,878
10002090-003,宜蘭縣五結鄉鎮安村,2333,民主進步黨,2,1167
10002090-004,宜蘭縣五結鄉上四村,1562,無,2,781
10002090-005,宜蘭縣五結鄉中興村,1278,無,1,1278
10002090-006,宜蘭縣五結鄉四結村,2358,無,2,1179
10002090-007,宜蘭縣五結鄉福興村,1726,無,2,863
10002090-008,宜蘭縣五結鄉五結村,3400,無,3,1133
10002090-010,宜蘭縣五結鄉協和村,2981,無,2,1491
10002090-009,宜蘭縣五結鄉大吉村,3322,無,3,1107
10002090-011,宜蘭縣五結鄉孝威村,1410,無,1,1410
10002090-012,宜蘭縣五結鄉錦眾村,1421,無,2,711
10002090-013,宜蘭縣五結鄉利澤村,2002,無,2,1001
10002090-014,宜蘭縣五結鄉成興村,2889,民主進步黨,2,1445
10002090-015,宜蘭縣五結鄉季新村,2726,無,3,909
10002100-001,宜蘭縣三星鄉員山村,221,無,1,221
10002100-002,宜蘭縣三星鄉天山村,528,無,1,528
10002100-003,宜蘭縣三星鄉天福村,727,無,1,727
10002100-012,宜蘭縣三星鄉萬德村,584,無,1,584
10002100-013,宜蘭縣三星鄉貴林村,464,無,1,464
10002100-014,宜蘭縣三星鄉萬富村,720,無,1,720
10002100-004,宜蘭縣三星鄉雙賢村,589,無,1,589
10002100-005,宜蘭縣三星鄉人和村,431,無,1,431
10002100-006,宜蘭縣三星鄉義德村,1165,無,1,1165
10002100-007,宜蘭縣三星鄉集慶村,1182,無,1,1182
10002100-008,宜蘭縣三星鄉月眉村,844,無,1,844
10002100-009,宜蘭縣三星鄉拱照村,1273,無,1,1273
10002100-011,宜蘭縣三星鄉行健村,805,無,1,805
10002100-010,宜蘭縣三星鄉大隱村,3965,無,3,1322
10002100-015,宜蘭縣三星鄉大義村,1160,民主進步黨,1,1160
10002100-016,宜蘭縣三星鄉尚武村,748,無,1,748
10002100-017,宜蘭縣三星鄉大洲村,1468,無,2,734
10002100-018,宜蘭縣三星鄉尾塹村,1327,無,1,1327
10002110-001,宜蘭縣大同鄉寒溪村,830,中國國民黨,1,830
10002110-002,宜蘭縣大同鄉崙埤村,537,中國國民黨,1,537
10002110-003,宜蘭縣大同鄉松羅村,627,中國國民黨,1,627
10002110-004,宜蘭縣大同鄉復興村,253,無,1,253
10002110-005,宜蘭縣大同鄉英士村,317,中國國民黨,1,317
10002110-006,宜蘭縣大同鄉樂水村,370,無,1,370
10002110-007,宜蘭縣大同鄉太平村,72,無,1,72
10002110-010,宜蘭縣大同鄉茂安村,176,無,1,176
10002110-008,宜蘭縣大同鄉四季村,719,無,1,719
10002110-009,宜蘭縣大同鄉南山村,605,中國國民黨,1,605
10002120-003,宜蘭縣南澳鄉東岳村,432,無,1,432
10002120-001,宜蘭縣南澳鄉南澳村,1143,中國國民黨,1,1143
10002120-002,宜蘭縣南澳鄉碧候村,871,無,1,871
10002120-004,宜蘭縣南澳鄉金岳村,374,中國國民黨,1,374
10002120-005,宜蘭縣南澳鄉武塔村,418,中國國民黨,1,418
10002120-006,宜蘭縣南澳鄉金洋村,442,中國國民黨,1,442
10002120-007,宜蘭縣南澳鄉澳花村,655,中國國民黨,1,655
10004010-002,新竹縣竹北市鹿場里,7685,無,5,1537
10004010-003,新竹縣竹北市東平里,8346,中國國民黨,6,1391
10004010-004,新竹縣竹北市中興里,5326,無,4,1332
10004010-005,新竹縣竹北市隘口里,2062,無,2,1031
10004010-006,新竹縣竹北市東海里,3063,中國國民黨,2,1532
10004010-027,新竹縣竹北市東興里,4131,中國國民黨,3,1377
10004010-028,新竹縣竹北市北興里,1199,無,1,1199
10004010-021,新竹縣竹北市十興里,5827,無,5,1165
10004010-029,新竹縣竹北市興安里,3092,中國國民黨,3,1031
10004010-030,新竹縣竹北市文化里,2998,無,3,999
10004010-001,新竹縣竹北市斗崙里,10054,中國國民黨,7,1436
10004010-024,新竹縣竹北市北崙里,3464,中國國民黨,3,1155
10004010-025,新竹縣竹北市新崙里,5445,中國國民黨,4,1361
10004010-007,新竹縣竹北市竹北里,5451,中國國民黨,4,1363
10004010-008,新竹縣竹北市竹仁里,8186,中國國民黨,6,1364
10004010-026,新竹縣竹北市福德里,3088,中國國民黨,3,1029
10004010-009,新竹縣竹北市竹義里,5424,無,4,1356
10004010-010,新竹縣竹北市泰和里,5311,中國國民黨,4,1328
10004010-011,新竹縣竹北市新社里,6480,無,5,1296
10004010-022,新竹縣竹北市新國里,4750,無,3,1583
10004010-012,新竹縣竹北市聯興里,4228,無,3,1409
10004010-013,新竹縣竹北市麻園里,1807,無,1,1807
10004010-014,新竹縣竹北市溪州里,2230,無,2,1115
10004010-023,新竹縣竹北市新庄里,1062,無,1,1062
10004010-015,新竹縣竹北市白地里,2032,無,2,1016
10004010-016,新竹縣竹北市新港里,1163,無,1,1163
10004010-019,新竹縣竹北市大眉里,1651,中國國民黨,1,1651
10004010-017,新竹縣竹北市大義里,1540,無,2,770
10004010-020,新竹縣竹北市尚義里,1494,無,2,747
10004010-018,新竹縣竹北市崇義里,1826,無,2,913
10004020-001,新竹縣竹東鎮上坪里,322,無,1,322
10004020-002,新竹縣竹東鎮瑞峰里,413,中國國民黨,1,413
10004020-003,新竹縣竹東鎮軟橋里,361,無,1,361
10004020-004,新竹縣竹東鎮員崠里,2161,中國國民黨,2,1081
10004020-006,新竹縣竹東鎮上舘里,8555,中國國民黨,7,1222
10004020-005,新竹縣竹東鎮東寧里,3147,無,3,1049
10004020-021,新竹縣竹東鎮中正里,1814,無,2,907
10004020-007,新竹縣竹東鎮大鄉里,4297,無,4,1074
10004020-020,新竹縣竹東鎮中山里,1690,無,2,845
10004020-022,新竹縣竹東鎮南華里,1078,中國國民黨,1,1078
10004020-008,新竹縣竹東鎮東華里,739,中國國民黨,1,739
10004020-009,新竹縣竹東鎮商華里,3012,中國國民黨,3,1004
10004020-010,新竹縣竹東鎮竹東里,1338,中國國民黨,2,669
10004020-012,新竹縣竹東鎮鷄林里,3740,中國國民黨,3,1247
10004020-013,新竹縣竹東鎮仁愛里,3171,中國國民黨,3,1057
10004020-024,新竹縣竹東鎮忠孝里,1552,中國國民黨,2,776
10004020-011,新竹縣竹東鎮榮樂里,1401,中國國民黨,2,701
10004020-023,新竹縣竹東鎮榮華里,6366,無,5,1273
10004020-014,新竹縣竹東鎮五豐里,7142,無,6,1190
10004020-025,新竹縣竹東鎮陸豐里,582,無,1,582
10004020-015,新竹縣竹東鎮三重里,5871,無,5,1174
10004020-019,新竹縣竹東鎮二重里,8726,中國國民黨,7,1247
10004020-016,新竹縣竹東鎮頭重里,4201,中國國民黨,4,1050
10004020-017,新竹縣竹東鎮員山里,1776,中國國民黨,2,888
10004020-018,新竹縣竹東鎮柯湖里,611,中國國民黨,1,611
10004030-008,新竹縣新埔鎮新埔里,973,無,1,973
10004030-009,新竹縣新埔鎮新生里,585,無,1,585
10004030-010,新竹縣新埔鎮新民里,1057,中國國民黨,1,1057
10004030-007,新竹縣新埔鎮田新里,2392,中國國民黨,3,797
10004030-006,新竹縣新埔鎮旱坑里,1791,無,2,896
10004030-004,新竹縣新埔鎮五埔里,1909,無,2,955
10004030-005,新竹縣新埔鎮四座里,3261,無,3,1087
10004030-016,新竹縣新埔鎮照門里,1459,無,1,1459
10004030-017,新竹縣新埔鎮清水里,467,無,1,467
10004030-018,新竹縣新埔鎮鹿鳴里,741,無,1,741
10004030-019,新竹縣新埔鎮新北里,623,無,1,623
10004030-015,新竹縣新埔鎮巨埔里,1123,無,1,1123
10004030-001,新竹縣新埔鎮內立里,1138,無,1,1138
10004030-002,新竹縣新埔鎮寶石里,882,無,1,882
10004030-003,新竹縣新埔鎮文山里,4104,中國國民黨,3,1368
10004030-011,新竹縣新埔鎮上寮里,1815,無,2,908
10004030-012,新竹縣新埔鎮下寮里,2357,中國國民黨,2,1179
10004030-013,新竹縣新埔鎮南平里,1004,無,1,1004
10004030-014,新竹縣新埔鎮北平里,639,無,1,639
10004040-001,新竹縣關西鎮東興里,485,無,1,485
10004040-002,新竹縣關西鎮西安里,1855,無,2,928
10004040-003,新竹縣關西鎮南雄里,735,無,1,735
10004040-004,新竹縣關西鎮北斗里,3576,中國國民黨,3,1192
10004040-006,新竹縣關西鎮北山里,757,無,1,757
10004040-005,新竹縣關西鎮仁安里,1076,無,1,1076
10004040-007,新竹縣關西鎮南山里,1042,無,1,1042
10004040-008,新竹縣關西鎮東安里,3503,無,3,1168
10004040-019,新竹縣關西鎮東山里,845,無,1,845
10004040-009,新竹縣關西鎮東光里,1293,無,1,1293
10004040-020,新竹縣關西鎮南新里,948,中國國民黨,1,948
10004040-010,新竹縣關西鎮新富里,588,無,1,588
10004040-013,新竹縣關西鎮玉山里,473,無,1,473
10004040-011,新竹縣關西鎮金山里,582,無,1,582
10004040-012,新竹縣關西鎮錦山里,997,中國國民黨,1,997
10004040-014,新竹縣關西鎮大同里,795,無,1,795
10004040-015,新竹縣關西鎮石光里,1814,無,2,907
10004040-021,新竹縣關西鎮東平里,963,無,1,963
10004040-016,新竹縣關西鎮上林里,805,中國國民黨,1,805
10004040-017,新竹縣關西鎮新力里,538,中國國民黨,1,538
10004040-018,新竹縣關西鎮南和里,838,無,1,838
10004050-007,新竹縣湖口鄉和興村,2779,中國國民黨,2,1390
10004050-019,新竹縣湖口鄉東興村,3813,無,3,1271
10004050-006,新竹縣湖口鄉德盛村,4360,中國國民黨,3,1453
10004050-003,新竹縣湖口鄉愛勢村,3929,中國國民黨,3,1310
10004050-002,新竹縣湖口鄉仁勢村,830,無,1,830
10004050-001,新竹縣湖口鄉孝勢村,1356,中國國民黨,1,1356
10004050-005,新竹縣湖口鄉中勢村,2599,中國國民黨,2,1300
10004050-018,新竹縣湖口鄉中正村,2406,中國國民黨,2,1203
10004050-004,新竹縣湖口鄉信勢村,4917,中國國民黨,4,1229
10004050-017,新竹縣湖口鄉信義村,3007,中國國民黨,2,1504
10004050-013,新竹縣湖口鄉波羅村,2127,中國國民黨,2,1064
10004050-008,新竹縣湖口鄉長嶺村,2878,中國國民黨,2,1439
10004050-009,新竹縣湖口鄉長安村,1098,中國國民黨,1,1098
10004050-010,新竹縣湖口鄉湖口村,2650,中國國民黨,2,1325
10004050-011,新竹縣湖口鄉湖鏡村,2306,中國國民黨,2,1153
10004050-012,新竹縣湖口鄉湖南村,1512,中國國民黨,1,1512
10004050-016,新竹縣湖口鄉中興村,5486,中國國民黨,4,1372
10004050-014,新竹縣湖口鄉鳳凰村,4842,中國國民黨,4,1211
10004050-020,新竹縣湖口鄉勝利村,3833,無,3,1278
10004050-015,新竹縣湖口鄉鳳山村,3114,中國國民黨,3,1038
10004060-001,新竹縣新豐鄉福興村,1061,無,1,1061
10004060-003,新竹縣新豐鄉青埔村,1700,無,1,1700
10004060-007,新竹縣新豐鄉中崙村,2996,無,2,1498
10004060-005,新竹縣新豐鄉瑞興村,1655,無,1,1655
10004060-002,新竹縣新豐鄉後湖村,1715,無,2,858
10004060-006,新竹縣新豐鄉坡頭村,824,無,1,824
10004060-004,新竹縣新豐鄉埔和村,2609,無,2,1305
10004060-009,新竹縣新豐鄉新豐村,2094,無,2,1047
10004060-010,新竹縣新豐鄉員山村,2212,無,2,1106
10004060-014,新竹縣新豐鄉忠孝村,3319,無,3,1106
10004060-015,新竹縣新豐鄉山崎村,3931,無,3,1310
10004060-012,新竹縣新豐鄉上坑村,1398,中國國民黨,1,1398
10004060-013,新竹縣新豐鄉鳳坑村,1030,無,1,1030
10004060-008,新竹縣新豐鄉重興村,4785,中國國民黨,3,1595
10004060-017,新竹縣新豐鄉崎頂村,2610,中國國民黨,2,1305
10004060-011,新竹縣新豐鄉松林村,4262,無,3,1421
10004060-016,新竹縣新豐鄉松柏村,4370,無,3,1457
10004070-002,新竹縣芎林鄉華龍村,440,中國國民黨,1,440
10004070-001,新竹縣芎林鄉五龍村,505,中國國民黨,1,505
10004070-003,新竹縣芎林鄉秀湖村,924,中國國民黨,1,924
10004070-004,新竹縣芎林鄉永興村,401,無,1,401
10004070-005,新竹縣芎林鄉石潭村,2569,中國國民黨,2,1285
