代號,名稱,所在村里,住址,座標住址,座標緯度,座標經度
090200100006,中正國小101教室,金門縣金城鎮西門里,金門縣金城鎮西門里珠浦北路38號,金門縣金城鎮西門里22鄰珠浦北路38號,24.434782,118.316875
090200100007,中正國小105教室,金門縣金城鎮西門里,金門縣金城鎮西門里珠浦北路38號,金門縣金城鎮西門里22鄰珠浦北路38號,24.434782,118.316875
090200100008,中正國小308教室,金門縣金城鎮西門里,金門縣金城鎮西門里珠浦北路38號,金門縣金城鎮西門里22鄰珠浦北路38號,24.434782,118.316875
090200100009,中正國小201教室,金門縣金城鎮西門里,金門縣金城鎮西門里珠浦北路38號,金門縣金城鎮西門里22鄰珠浦北路38號,24.434782,118.316875
090200100010,鳳翔社區活動中心,金門縣金城鎮西門里,金門縣金城鎮西門里珠浦西路79之1號,金門縣金城鎮西門里33鄰珠浦西路79之2號,24.437849,118.313841
090200100011,傅錫琪紀念館,金門縣金城鎮北門里,金門縣金城鎮北門里中興路173巷28號,金門縣金城鎮北門里2鄰中興路173巷26號,24.435071,118.31853
090200100012,浯江書院,金門縣金城鎮北門里,金門縣金城鎮北門里珠浦北路36號,金門縣金城鎮北門里5鄰珠浦北路32號,24.433917,118.317215
090200100013,賢庵里辦公處,金門縣金城鎮賢庵里,金門縣金城鎮賢庵里賢聚25號,金門縣金城鎮賢庵里21鄰賢聚25號,24.420026,118.309675
090200100014,賢庵國小,金門縣金城鎮賢庵里,金門縣金城鎮賢庵里庵前18之2號,金門縣金城鎮賢庵里13鄰庵前18之2號,24.417834,118.318989
090200100015,金水里辦公處,金門縣金城鎮金水里,金門縣金城鎮金水里前水頭74之1號,金門縣金城鎮金水里9鄰前水頭74之1號,24.411603,118.296753
090200100016,金門城活動中心,金門縣金城鎮古城里,金門縣金城鎮古城里金門城85之2號,金門縣金城鎮古城里5鄰金門城85之2號,24.401989,118.305817
090200100017,古城里辦公處,金門縣金城鎮古城里,金門縣金城鎮古城里小古崗40之2號,金門縣金城鎮古城里23鄰小古崗40之3號,24.397815,118.316222
090200100018,珠沙里辦公處,金門縣金城鎮珠沙里,金門縣金城鎮珠沙里歐厝81號,金門縣金城鎮珠沙里12鄰歐厝81號,24.40767,118.331427
090200100019,和平社區活動中心,金門縣金城鎮珠沙里,金門縣金城鎮珠沙里和平新村99號,金門縣金城鎮珠沙里20鄰和平新村99號,24.414584,118.328223
090200200057,金沙國小(一年甲班教室),金門縣金沙鎮汶沙里,金門縣金沙鎮汶沙里后浦頭117號,金門縣金沙鎮汶沙里14鄰后浦頭117號,24.488439,118.412007
090200200058,汶沙里辦公處,金門縣金沙鎮汶沙里,金門縣金沙鎮汶沙里國中路1之1號,金門縣金沙鎮汶沙里7鄰國中路1之1號,24.488706,118.41406
090200200059,金沙國中(美術教室),金門縣金沙鎮汶沙里,金門縣金沙鎮汶沙里國中路61號,金門縣金沙鎮汶沙里24鄰國中路61號,24.490596,118.415547
090200200060,何斗里辦公處,金門縣金沙鎮何斗里,金門縣金沙鎮何斗里斗門55之3號,金門縣金沙鎮何斗里5鄰斗門55之3號,24.473764,118.401718
090200200061,何浦國小(自然科學教室),金門縣金沙鎮浦山里,金門縣金沙鎮浦山里下塘頭39號,金門縣金沙鎮浦山里21鄰下塘頭39號,24.478295,118.395404
090200200062,后宅社區活動中心,金門縣金沙鎮浦山里,金門縣金沙鎮浦山里后宅19號,金門縣金沙鎮浦山里12鄰后宅23之1號,24.482591,118.39404
090200200063,西園里辦公處,金門縣金沙鎮西園里,金門縣金沙鎮西園里西園1之3號,金門縣金沙鎮西園里1鄰西園1之5號,24.508577,118.405455
090200200064,官嶼里辦公處,金門縣金沙鎮官嶼里,金門縣金沙鎮官嶼里官澳82之2號,金門縣金沙鎮官嶼里5鄰官澳82之1號,24.519538,118.41431
090200200065,三山里辦公處,金門縣金沙鎮三山里,金門縣金沙鎮三山里碧山58之1號,金門縣金沙鎮三山里9鄰碧山56號,24.485571,118.441638
090200200066,新前墩社區活動中心,金門縣金沙鎮大洋里,金門縣金沙鎮大洋里新前墩36號,金門縣金沙鎮大洋里9鄰新前墩36號,24.45569,118.45123
090200200067,光前里辦公處,金門縣金沙鎮光前里,金門縣金沙鎮光前里陽翟96之5號,金門縣金沙鎮光前里5鄰陽翟96之5號,24.478458,118.427027
090200200068,太武社區活動中心,金門縣金沙鎮光前里,金門縣金沙鎮光前里太武社區1之1號,金門縣金沙鎮光前里18鄰太武社區1號,24.477143,118.42832
090200300044,新市里辦公處,金門縣金湖鎮新市里,金門縣金湖鎮新市里林森路6之1號,金門縣金湖鎮新市里1鄰林森路6之1號,24.4416,118.416743
090200300045,新市里舊鎮公所,金門縣金湖鎮新市里,金門縣金湖鎮新市里林森路6號,金門縣金湖鎮新市里1鄰林森路6號,24.44182,118.416572
090200300046,山外里辦公處,金門縣金湖鎮山外里,金門縣金湖鎮山外里山外80之5號,金門縣金湖鎮山外里7鄰山外80之5號,24.445422,118.415182
090200300047,下莊社區活動中心,金門縣金湖鎮山外里,金門縣金湖鎮山外里下莊50號,金門縣金湖鎮山外里12鄰下莊50號,24.451645,118.427875
090200300048,溪湖里辦公處,金門縣金湖鎮溪湖里,金門縣金湖鎮溪湖里溪邊80號,金門縣金湖鎮溪湖里7鄰溪邊80號,24.442613,118.460274
090200300049,蓮庵里辦公處,金門縣金湖鎮蓮庵里,金門縣金湖鎮蓮庵里東村34號,金門縣金湖鎮蓮庵里1鄰東村34號,24.427801,118.446034
090200300050,料羅里辦公處,金門縣金湖鎮料羅里,金門縣金湖鎮料羅里料羅16之4號,金門縣金湖鎮料羅里5鄰料羅16之4號,24.416424,118.436397
090200300051,湖前社區活動中心,金門縣金湖鎮新湖里,金門縣金湖鎮新湖里湖前38號,金門縣金湖鎮新湖里4鄰湖前38號,24.436019,118.411964
090200300052,新湖里辦公處,金門縣金湖鎮新湖里,金門縣金湖鎮新湖里湖前62之1號,金門縣金湖鎮新湖里4鄰湖前62之1號,24.436132,118.410535
090200300053,塔后社區活動中心,金門縣金湖鎮新湖里,金門縣金湖鎮新湖里塔后142號,金門縣金湖鎮新湖里7鄰塔后142號,24.439945,118.408089
090200300054,正義里辦公處,金門縣金湖鎮正義里,金門縣金湖鎮正義里成功65之1號,金門縣金湖鎮正義里8鄰成功65之1號,24.439105,118.390187
090200300055,瓊林里辦公處,金門縣金湖鎮瓊林里,金門縣金湖鎮瓊林里瓊林236之1號,金門縣金湖鎮瓊林里12鄰瓊林236之1號,24.455316,118.372945
090200300056,瓊林民防館,金門縣金湖鎮瓊林里,金門縣金湖鎮瓊林里瓊林77之1號,金門縣金湖鎮瓊林里12鄰瓊林77之1號,24.455233,118.373055
090200400020,古寧國小(音樂教室),金門縣金寧鄉古寧村,金門縣金寧鄉古寧村北山1號,金門縣金寧鄉古寧村22鄰北山1號,24.47789,118.312809
090200400021,古寧村辦公處,金門縣金寧鄉古寧村,金門縣金寧鄉古寧村北山2之1號,金門縣金寧鄉古寧村22鄰北山2號,24.477683,118.312149
090200400022,安美村辦公處,金門縣金寧鄉安美村,金門縣金寧鄉安美村安岐37之3號,金門縣金寧鄉安美村14鄰安岐37之3號,24.460862,118.324483
090200400023,莊氏家廟,金門縣金寧鄉安美村,金門縣金寧鄉安美村西浦頭47號,金門縣金寧鄉安美村6鄰西浦頭47號,24.465181,118.317154
090200400024,東堡楊氏家廟,金門縣金寧鄉安美村,金門縣金寧鄉安美村東堡17號,金門縣金寧鄉安美村23鄰東堡17號,24.455826,118.341002
090200400025,湖埔村辦公處,金門縣金寧鄉湖埔村,金門縣金寧鄉湖埔村湖下155之2號,金門縣金寧鄉湖埔村3鄰湖下155之2號,24.456646,118.307287
090200400026,埔後陳氏家廟,金門縣金寧鄉湖埔村,金門縣金寧鄉湖埔村埔後17號,金門縣金寧鄉湖埔村21鄰埔後15號,24.442467,118.317066
090200400027,湖峰社區活動中心,金門縣金寧鄉湖埔村,金門縣金寧鄉湖埔村湖下1之6號,金門縣金寧鄉湖埔村7鄰湖下1之6號,24.455324,118.305943
090200400028,榜林村辦公處,金門縣金寧鄉榜林村,金門縣金寧鄉榜林村榜林21號,金門縣金寧鄉榜林村6鄰榜林21號,24.435178,118.331453
090200400029,后湖會元館,金門縣金寧鄉榜林村,金門縣金寧鄉榜林村后湖75之2號,金門縣金寧鄉榜林村14鄰后湖75之2號,24.419307,118.342428
090200400030,國礎國小教室,金門縣金寧鄉榜林村,金門縣金寧鄉榜林村榜林21號,金門縣金寧鄉榜林村6鄰榜林21號,24.435178,118.331453
090200400031,盤山村辦公處,金門縣金寧鄉盤山村,金門縣金寧鄉盤山村頂堡150號,金門縣金寧鄉盤山村8鄰頂堡150號,24.44898,118.339071
090200400032,金鼎國小(201班教室),金門縣金寧鄉盤山村,金門縣金寧鄉盤山村下堡123號,金門縣金寧鄉盤山村9鄰下堡123號,24.447709,118.337847
090200400033,金鼎國小活動中心,金門縣金寧鄉盤山村,金門縣金寧鄉盤山村下堡123號,金門縣金寧鄉盤山村9鄰下堡123號,24.447709,118.337847
090200400034,金鼎國小(202班教室),金門縣金寧鄉盤山村,金門縣金寧鄉盤山村下堡123號,金門縣金寧鄉盤山村9鄰下堡123號,24.447709,118.337847
090200400035,后盤村辦公處,金門縣金寧鄉后盤村,金門縣金寧鄉后盤村后盤山33號,金門縣金寧鄉后盤村2鄰后盤山33號,24.450336,118.353541
090200500036,林湖村辦公處,金門縣烈嶼鄉林湖村,金門縣烈嶼鄉林湖村東林24號,金門縣烈嶼鄉林湖村8鄰東林26之1號,24.428869,118.249012
090200500037,林湖村辦公處,金門縣烈嶼鄉林湖村,金門縣烈嶼鄉林湖村東林24號,金門縣烈嶼鄉林湖村8鄰東林26之1號,24.428869,118.249012
090200500038,黃埔村辦公處,金門縣烈嶼鄉黃埔村,金門縣烈嶼鄉黃埔村黃厝45號,金門縣烈嶼鄉黃埔村3鄰黃厝45號,24.446732,118.251842
090200500039,西口村辦公處,金門縣烈嶼鄉西口村,金門縣烈嶼鄉西口村西方6之1號,金門縣烈嶼鄉西口村1鄰西方6之1號,24.435457,118.239386
090200500040,上林村民活動中心,金門縣烈嶼鄉上林村,金門縣烈嶼鄉上林村上林80號,金門縣烈嶼鄉上林村1鄰上林80號,24.428759,118.228117
090200500041,上岐村辦公處,金門縣烈嶼鄉上岐村,金門縣烈嶼鄉上岐村青岐92之2號,金門縣烈嶼鄉上岐村13鄰青岐92號,24.415078,118.226377
090200600042,烏坵鄉公所大廳,金門縣烏坵鄉大坵村,金門縣烏坵鄉大坵村1號,,0,0
090200600043,小坵村活動中心,金門縣烏坵鄉小坵村,金門縣烏坵鄉小坵村（媽祖廟附近）,,0,0
100020100001,光復國小(一),宜蘭縣宜蘭市民族里,宜蘭縣宜蘭市負郭里泰山路60號,宜蘭縣宜蘭市負郭里2鄰泰山路60號,24.754772,121.747761
100020100002,光復國小(二),宜蘭縣宜蘭市民族里,宜蘭縣宜蘭市負郭里泰山路60號,宜蘭縣宜蘭市負郭里2鄰泰山路60號,24.754772,121.747761
100020100003,宜蘭高中學生活動中心,宜蘭縣宜蘭市建軍里,宜蘭縣宜蘭市建軍里復興路3段8號,宜蘭縣宜蘭市建軍里7鄰復興路三段8號,24.751115,121.742785
100020100004,宜蘭高中學生宿舍,宜蘭縣宜蘭市建軍里,宜蘭縣宜蘭市建軍里復興路3段8號,宜蘭縣宜蘭市建軍里7鄰復興路三段8號,24.751115,121.742785
100020100005,南屏國小(一),宜蘭縣宜蘭市泰山里,宜蘭縣宜蘭市負郭里泰山路98號,宜蘭縣宜蘭市負郭里1鄰泰山路98號,24.753963,121.742637
100020100006,南屏國小(二),宜蘭縣宜蘭市泰山里,宜蘭縣宜蘭市負郭里泰山路98號,宜蘭縣宜蘭市負郭里1鄰泰山路98號,24.753963,121.742637
100020100007,光復國小(三),宜蘭縣宜蘭市負郭里,宜蘭縣宜蘭市負郭里泰山路60號,宜蘭縣宜蘭市負郭里2鄰泰山路60號,24.754772,121.747761
100020100008,南屏國小(三),宜蘭縣宜蘭市負郭里,宜蘭縣宜蘭市負郭里泰山路98號,宜蘭縣宜蘭市負郭里1鄰泰山路98號,24.753963,121.742637
100020100009,光復國小(四),宜蘭縣宜蘭市負郭里,宜蘭縣宜蘭市負郭里泰山路60號,宜蘭縣宜蘭市負郭里2鄰泰山路60號,24.754772,121.747761
100020100010,宜蘭大學(一),宜蘭縣宜蘭市思源里,宜蘭縣宜蘭市思源里神農路1段1號,宜蘭縣宜蘭市思源里1鄰神農路一段1號,24.745297,121.748082
100020100011,宜蘭大學,宜蘭縣宜蘭市思源里,宜蘭縣宜蘭市思源里神農路1段1號,宜蘭縣宜蘭市思源里1鄰神農路一段1號,24.745297,121.748082
100020100012,宜蘭大學(二),宜蘭縣宜蘭市思源里,宜蘭縣宜蘭市思源里神農路1段1號,宜蘭縣宜蘭市思源里1鄰神農路一段1號,24.745297,121.748082
100020100013,諾貝爾幼兒園,宜蘭縣宜蘭市七結里,宜蘭縣宜蘭市七結里農權路3段89號,宜蘭縣宜蘭市七結里2鄰農權路三段89號,24.749688,121.739791
100020100014,金七結福德廟活動中心,宜蘭縣宜蘭市七結里,宜蘭縣宜蘭市七結里泰山路七結巷9之10號,宜蘭縣宜蘭市七結里7鄰泰山路七結巷9之10號,24.74822,121.737351
100020100015,復興國中(一),宜蘭縣宜蘭市文化里,"宜蘭縣宜蘭市文化里復興路2段77號	",宜蘭縣宜蘭市文化里9鄰復興路二段77號,24.749036,121.746853
100020100016,復興國中(二),宜蘭縣宜蘭市文化里,宜蘭縣宜蘭市文化里復興路2段77號,宜蘭縣宜蘭市文化里9鄰復興路二段77號,24.749036,121.746853
100020100017,金六結福德廟,宜蘭縣宜蘭市文化里,宜蘭縣宜蘭市文化里民權新路259巷42號,宜蘭縣宜蘭市文化里15鄰民權新路259巷42號,24.751094,121.745081
100020100018,篤行國宅社區互助管理委員會,宜蘭縣宜蘭市復興里,宜蘭縣宜蘭市復興里民權新路47巷25號,宜蘭縣宜蘭市復興里2鄰民權新路47巷25之2號,24.749425,121.751953
100020100019,蘭陽女中(一),宜蘭縣宜蘭市復興里,宜蘭縣宜蘭市擺厘里女中路二段355號,宜蘭縣宜蘭市擺厘里10鄰女中路二段355號,24.745357,121.753368
100020100020,宜蘭大學(三),宜蘭縣宜蘭市復興里,宜蘭縣宜蘭市思源里神農路1段1號,宜蘭縣宜蘭市思源里1鄰神農路一段1號,24.745297,121.748082
100020100021,私立芝麻村國際幼兒園,宜蘭縣宜蘭市民權里,宜蘭縣宜蘭市民權里中華路233號,宜蘭縣宜蘭市民權里10鄰中華路233號,24.751347,121.751927
100020100022,蘭陽女中,宜蘭縣宜蘭市民權里,宜蘭縣宜蘭市擺厘里女中路2段355號,宜蘭縣宜蘭市擺厘里10鄰女中路二段355號,24.745357,121.753368
100020100023,宜蘭市社會福利大樓一樓,宜蘭縣宜蘭市神農里,宜蘭縣宜蘭市神農里民權路1段65號,宜蘭縣宜蘭市神農里16鄰民權路一段65號,24.752556,121.753945
100020100024,宜蘭國小(一),宜蘭縣宜蘭市神農里,宜蘭縣宜蘭市神農里崇聖街2號,宜蘭縣宜蘭市神農里16鄰崇聖街2號,24.753255,121.754332
100020100025,宜蘭國小(二),宜蘭縣宜蘭市神農里,宜蘭縣宜蘭市神農里崇聖街2號,宜蘭縣宜蘭市神農里16鄰崇聖街2號,24.753255,121.754332
100020100026,中山國小(一),宜蘭縣宜蘭市大新里,宜蘭縣宜蘭市神農里崇聖街4號,宜蘭縣宜蘭市神農里16鄰崇聖街4號,24.753979,121.754624
100020100027,新民堂,宜蘭縣宜蘭市新民里,宜蘭縣宜蘭市新民里新民路153號,宜蘭縣宜蘭市新民里12鄰新民路153號,24.757539,121.753577
100020100028,中山國小(二),宜蘭縣宜蘭市新民里,宜蘭縣宜蘭市神農里崇聖街4號,宜蘭縣宜蘭市神農里16鄰崇聖街4號,24.753979,121.754624
100020100029,進士社區活動中心,宜蘭縣宜蘭市進士里,宜蘭縣宜蘭市進士里進士路53號,宜蘭縣宜蘭市進士里7鄰進士路53號,24.741514,121.74658
100020100030,宜蘭大學(四),宜蘭縣宜蘭市進士里,宜蘭縣宜蘭市思源里神農路1段1號,宜蘭縣宜蘭市思源里1鄰神農路一段1號,24.745297,121.748082
100020100031,南橋社區活動中心,宜蘭縣宜蘭市南橋里,宜蘭縣宜蘭市南橋里南橋路240號,宜蘭縣宜蘭市南橋里1鄰南橋路240號,24.73073,121.741218
100020100032,凱旋社區活動中心,宜蘭縣宜蘭市凱旋里,宜蘭縣宜蘭市凱旋里旋流路3之5號,宜蘭縣宜蘭市凱旋里4鄰旋流路3之5號,24.727552,121.768181
100020100033,凱旋國小(一),宜蘭縣宜蘭市南津里,宜蘭縣宜蘭市南津里凱旋路130號,宜蘭縣宜蘭市南津里6鄰凱旋路130號,24.72447,121.763212
100020100034,凱旋國小(二),宜蘭縣宜蘭市南津里,宜蘭縣宜蘭市南津里凱旋路130號,宜蘭縣宜蘭市南津里6鄰凱旋路130號,24.72447,121.763212
100020100035,凱旋國中,宜蘭縣宜蘭市建業里,宜蘭縣宜蘭市建業里縣政七街50巷1號,宜蘭縣宜蘭市建業里10鄰縣政七街50巷1號,24.725983,121.757201
100020100036,凱旋國中,宜蘭縣宜蘭市建業里,宜蘭縣宜蘭市建業里縣政七街50巷1號,宜蘭縣宜蘭市建業里10鄰縣政七街50巷1號,24.725983,121.757201
100020100037,蘭陽女中(二),宜蘭縣宜蘭市擺厘里,宜蘭縣宜蘭市擺厘里女中路二段355號,宜蘭縣宜蘭市擺厘里10鄰女中路二段355號,24.745357,121.753368
100020100038,蘭陽女中(三),宜蘭縣宜蘭市擺厘里,宜蘭縣宜蘭市擺厘里女中路二段355號,宜蘭縣宜蘭市擺厘里10鄰女中路二段355號,24.745357,121.753368
100020100039,蘭陽女中(四),宜蘭縣宜蘭市擺厘里,宜蘭縣宜蘭市擺厘里女中路二段355號,宜蘭縣宜蘭市擺厘里10鄰女中路二段355號,24.745357,121.753368
100020100040,五大社區活動中心,宜蘭縣宜蘭市延平里,宜蘭縣宜蘭市延平里東港路2巷14弄21號,宜蘭縣宜蘭市延平里1鄰東港路2巷21號,24.75037,121.783783
100020100041,黎明國小(一),宜蘭縣宜蘭市延平里,宜蘭縣宜蘭市新東里校舍路1號,宜蘭縣宜蘭市新東里9鄰校舍路1號,24.751984,121.764425
100020100042,宜蘭高商(一),宜蘭縣宜蘭市延平里,宜蘭縣宜蘭市成功里延平路50號,宜蘭縣宜蘭市成功里6鄰延平路50號,24.754892,121.765492
100020100043,宜蘭高商(二),宜蘭縣宜蘭市成功里,宜蘭縣宜蘭市成功里延平路50號,宜蘭縣宜蘭市成功里6鄰延平路50號,24.754892,121.765492
100020100044,宜蘭高商(三),宜蘭縣宜蘭市成功里,宜蘭縣宜蘭市成功里延平路50號,宜蘭縣宜蘭市成功里6鄰延平路50號,24.754892,121.765492
100020100045,延平社區活動中心,宜蘭縣宜蘭市成功里,宜蘭縣宜蘭市成功里環市東路二段890號(黎霧橋下),宜蘭縣宜蘭市成功里16鄰環市東路二段890號,24.75857,121.771456
100020100046,黎明國小(二),宜蘭縣宜蘭市東村里,宜蘭縣宜蘭市新東里校舍路1號,宜蘭縣宜蘭市新東里9鄰校舍路1號,24.751984,121.764425
100020100047,黎明國小(三),宜蘭縣宜蘭市東村里,宜蘭縣宜蘭市新東里校舍路1號,宜蘭縣宜蘭市新東里9鄰校舍路1號,24.751984,121.764425
100020100048,"黎明國小 (四)",宜蘭縣宜蘭市新東里,宜蘭縣宜蘭市新東里校舍路1號,宜蘭縣宜蘭市新東里9鄰校舍路1號,24.751984,121.764425
100020100049,黎明國小(五),宜蘭縣宜蘭市新東里,宜蘭縣宜蘭市新東里校舍路1號,宜蘭縣宜蘭市新東里9鄰校舍路1號,24.751984,121.764425
100020100050,黎民國小(六),宜蘭縣宜蘭市新東里,宜蘭縣宜蘭市新東里校舍路1號,宜蘭縣宜蘭市新東里9鄰校舍路1號,24.751984,121.764425
100020100051,宜蘭市幼兒園(一),宜蘭縣宜蘭市黎明里,宜蘭縣宜蘭市黎明里黎明二路239號,宜蘭縣宜蘭市黎明里4鄰黎明二路239號,24.744502,121.774241
100020100052,宜蘭市幼兒園(二),宜蘭縣宜蘭市黎明里,宜蘭縣宜蘭市黎明里黎明二路239號,宜蘭縣宜蘭市黎明里4鄰黎明二路239號,24.744502,121.774241
100020100053,七張社區活動中心,宜蘭縣宜蘭市七張里,宜蘭縣宜蘭市七張里七張路537號,宜蘭縣宜蘭市七張里10鄰七張路537號,24.764193,121.769568
100020100054,力行國小,宜蘭縣宜蘭市孝廉里,宜蘭縣宜蘭市孝廉里力行路152號,宜蘭縣宜蘭市孝廉里7鄰力行路152號,24.763964,121.754786
100020100055,法蒂瑪聖母堂峻德廳,宜蘭縣宜蘭市東門里,宜蘭縣宜蘭市東門里聖後街164號,宜蘭縣宜蘭市東門里8鄰聖後街164號,24.758995,121.754703
100020100056,宜蘭國中(一),宜蘭縣宜蘭市小東里,宜蘭縣宜蘭市小東里樹人路37號,宜蘭縣宜蘭市小東里7鄰樹人路37號,24.761985,121.758382
100020100057,宜蘭國中(二),宜蘭縣宜蘭市小東里,宜蘭縣宜蘭市小東里樹人路37號,宜蘭縣宜蘭市小東里7鄰樹人路37號,24.761985,121.758382
100020100058,宜蘭國中活動中心,宜蘭縣宜蘭市菜園里,宜蘭縣宜蘭市小東里樹人路37號,宜蘭縣宜蘭市小東里7鄰樹人路37號,24.761985,121.758382
100020100059,慈安寺(一),宜蘭縣宜蘭市慈安里,宜蘭縣宜蘭市慈安里慈安路77號,宜蘭縣宜蘭市慈安里1鄰慈安路77號,24.760358,121.764106
100020100060,慈安寺(二),宜蘭縣宜蘭市慈安里,宜蘭縣宜蘭市慈安里慈安路77號,宜蘭縣宜蘭市慈安里1鄰慈安路77號,24.760358,121.764106
100020100061,慈安寺(三),宜蘭縣宜蘭市中興里,宜蘭縣宜蘭市慈安里慈安路77號,宜蘭縣宜蘭市慈安里1鄰慈安路77號,24.760358,121.764106
100020100062,宜蘭高商(四),宜蘭縣宜蘭市中興里,宜蘭縣宜蘭市成功里延平路50號,宜蘭縣宜蘭市成功里6鄰延平路50號,24.754892,121.765492
100020100063,宜蘭高商(五),宜蘭縣宜蘭市中興里,宜蘭縣宜蘭市成功里延平路50號,宜蘭縣宜蘭市成功里6鄰延平路50號,24.754892,121.765492
100020100064,新生社區活動中心,宜蘭縣宜蘭市新生里,宜蘭縣宜蘭市新生里大福路1段243號,宜蘭縣宜蘭市新生里8鄰大福路一段243號,24.764577,121.76421
100020100065,宜蘭農田水利會壯圍工作站,宜蘭縣宜蘭市新生里,宜蘭縣宜蘭市新生里大福路2段185號,宜蘭縣宜蘭市新生里10鄰大福路二段185號,24.766889,121.757626
100020100066,新生國小,宜蘭縣宜蘭市茭白里,宜蘭縣宜蘭市茭白里大坡路1段100號,宜蘭縣宜蘭市茭白里2鄰大坡路一段100號,24.770685,121.754518
100020100067,茭白社區活動中心,宜蘭縣宜蘭市茭白里,宜蘭縣宜蘭市茭白里一結路98號,宜蘭縣宜蘭市茭白里10鄰一結路98號,24.776315,121.750603
100020100068,新生帝王廟,宜蘭縣宜蘭市北津里,宜蘭縣宜蘭市北津里北津路31之5號,宜蘭縣宜蘭市北津里7鄰北津路31之5號,24.768649,121.75457
100020100069,北津社區活動中心,宜蘭縣宜蘭市北津里,宜蘭縣宜蘭市北津里金同春路231號,宜蘭縣宜蘭市北津里12鄰金同春路231號,24.767545,121.749873
100020100070,梅洲社區活動中心,宜蘭縣宜蘭市梅洲里,宜蘭縣宜蘭市梅洲里金同春路48號,宜蘭縣宜蘭市梅洲里4鄰金同春路48號,24.7631,121.744273
100020100071,昭安宮(原梅洲托兒所),宜蘭縣宜蘭市梅洲里,宜蘭縣宜蘭市梅洲里大坡路1段305巷62號,宜蘭縣宜蘭市梅洲里11鄰大坡路一段305巷62號,24.772907,121.746007
100020100072,慈航宮管理委員會,宜蘭縣宜蘭市梅洲里,宜蘭縣宜蘭市梅洲里金同春路67號,宜蘭縣宜蘭市梅洲里3鄰金同春路67號,24.763786,121.744694
100020100073,蘭陽林姓興德會〈林姓家廟〉,宜蘭縣宜蘭市南門里,宜蘭縣宜蘭市南門里南興街22號,宜蘭縣宜蘭市南門里2鄰南興街22號,24.755604,121.751755
100020100074,文昌宮,宜蘭縣宜蘭市南門里,宜蘭縣宜蘭市中山里文昌路66號,宜蘭縣宜蘭市中山里5鄰文昌路66號,24.758421,121.751118
100020100075,武穆文史館,宜蘭縣宜蘭市中山里,宜蘭縣宜蘭市中山里城隍街56號,宜蘭縣宜蘭市中山里13鄰城隍街56號,24.759377,121.750965
100020100076,西關廟,宜蘭縣宜蘭市西門里,宜蘭縣宜蘭市西門里舊城西路29號,宜蘭縣宜蘭市西門里9鄰舊城西路29號,24.758528,121.74936
100020100077,光明寺,宜蘭縣宜蘭市西門里,宜蘭縣宜蘭市西門里西門路91號,宜蘭縣宜蘭市西門里5鄰西門路91號,24.760691,121.749546
100020100078,慶和社區活動中心,宜蘭縣宜蘭市北門里,宜蘭縣宜蘭市北門里碧霞街136號,宜蘭縣宜蘭市北門里16鄰碧霞街136號,24.76248,121.752097
100020200079,羅東國小,宜蘭縣羅東鎮開明里,宜蘭縣羅東鎮南昌里民族路1號,宜蘭縣羅東鎮南昌里8鄰民族路1號,24.673126,121.772461
100020200080,羅東國小,宜蘭縣羅東鎮開明里,宜蘭縣羅東鎮南昌里民族路1號,宜蘭縣羅東鎮南昌里8鄰民族路1號,24.673126,121.772461
