代號,名稱,所在村里,住址,座標住址,座標緯度,座標經度
090070100001,第一投(開)票所,連江縣南竿鄉介壽村,連江縣南竿鄉介壽村374-2號,連江縣南竿鄉介壽村15鄰374號,26.154322,119.949788
090070100002,第二投(開)票所,連江縣南竿鄉復興村,連江縣南竿鄉介壽村13號,連江縣南竿鄉介壽村1鄰13號,26.160321,119.949813
090070100003,第三投(開)票所,連江縣南竿鄉清水村,連江縣南竿鄉馬祖村4號,連江縣南竿鄉馬祖村1鄰4號,26.159358,119.920093
090070200004,第四投(開)票所,連江縣北竿鄉塘岐村,連江縣北竿鄉塘岐村166號,連江縣北竿鄉塘岐村6鄰166號,26.222906,119.997751
090070200005,第五投(開)票所,連江縣北竿鄉芹壁村,連江縣北竿鄉坂里村39號,連江縣北竿鄉坂里村2鄰39號,26.216526,119.974045
090070300006,第六投(開)票所,連江縣莒光鄉青帆村,連江縣莒光鄉青帆村18號,連江縣莒光鄉青帆村1鄰18號,25.970343,119.934652
090070300007,第七投(開)票所,連江縣莒光鄉福正村,連江縣莒光鄉大坪村4號,連江縣莒光鄉大坪村1鄰4號,25.960093,119.973665
090070400008,第八投(開)票所,連江縣東引鄉中柳村,連江縣東引鄉中柳村94號,連江縣東引鄉中柳村4鄰94號,26.367919,120.488451
090200100001,東門里活動中心(東門代天府廣場旁),金門縣金城鎮東門里,金門縣金城鎮東門里民族路66之6號,金門縣金城鎮東門里15鄰民族路66之6號,24.430577,118.319558
090200100002,金門縣長青會,金門縣金城鎮東門里,金門縣金城鎮東門里浯江北堤路49號,金門縣金城鎮東門里31鄰浯江北堤路49號,24.429306,118.319507
090200100003,西門里辦公處,金門縣金城鎮南門里,金門縣金城鎮西門里民權路90之6號,金門縣金城鎮西門里2鄰民權路90之2號,24.433185,118.314399
090200100004,南門里辦公處,金門縣金城鎮南門里,金門縣金城鎮西門里民權路90之7號,金門縣金城鎮西門里2鄰民權路90之2號,24.433185,118.314399
090200100005,西南門里辦公處會議室,金門縣金城鎮南門里,金門縣金城鎮西門里民權路90之7號,金門縣金城鎮西門里2鄰民權路90之2號,24.433185,118.314399
