選區,行政區
"2016-01 > 立法委員 > 全國[山原]",2016
"2016-01 > 立法委員 > 全國[平原]",2016
"2016-01 > 立法委員 > 全國[不分區政黨]",2016
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 德行里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 德華里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 忠誠里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 三玉里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 蘭雅里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 蘭興里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 天福里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 天祿里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 天壽里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 天和里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 天山里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 天玉里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 士林區 > 天母里"
"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]","2016 > 臺北市 > 北投區"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 大同區"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 仁勇里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 義信里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福林里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福德里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福志里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 舊佳里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福佳里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 後港里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福中里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 前港里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 百齡里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 承德里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福華里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 明勝里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福順里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 富光里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 葫蘆里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 葫東里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 社子里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 社新里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 社園里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 永倫里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 福安里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 富洲里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 岩山里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 名山里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 聖山里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 芝山里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 東山里"
