選區,行政區
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 永福里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 公館里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 新安里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 陽明里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 菁山里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 平等里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 溪山里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 翠山里"
"2016-01 > 立法委員 > 臺北市 > 第02選區[區域]","2016 > 臺北市 > 士林區 > 臨溪里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 莊敬里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 東榮里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 三民里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 新益里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 富錦里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 新東里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 富泰里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 介壽里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 精忠里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 東光里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 龍田里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 東昌里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 東勢里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 中華里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 民有里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 民福里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 安平里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 鵬程里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 自強里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 松山區 > 松基里"
"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]","2016 > 臺北市 > 中山區"
"2016-01 > 立法委員 > 臺北市 > 第04選區[區域]","2016 > 臺北市 > 南港區"
"2016-01 > 立法委員 > 臺北市 > 第04選區[區域]","2016 > 臺北市 > 內湖區"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 永功里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 永昌里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 龍興里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 忠勤里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 廈安里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 愛國里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 南門里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 龍光里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 南福里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 龍福里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 新營里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 建國里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 光復里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 黎明里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 梅花里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 幸福里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 幸市里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 東門里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 文北里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 文祥里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 中正區 > 三愛里"
"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]","2016 > 臺北市 > 萬華區"
"2016-01 > 立法委員 > 臺北市 > 第06選區[區域]","2016 > 臺北市 > 大安區"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 慈祐里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 吉祥里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 新聚里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 復盛里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 中正里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 中崙里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 美仁里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 吉仁里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 敦化里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 復源里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 復建里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 復勢里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 松山區 > 福成里"
"2016-01 > 立法委員 > 臺北市 > 第07選區[區域]","2016 > 臺北市 > 信義區"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 水源里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 富水里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 文盛里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 林興里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 河堤里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 頂東里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 網溪里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 板溪里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 螢圃里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 中正區 > 螢雪里"
"2016-01 > 立法委員 > 臺北市 > 第08選區[區域]","2016 > 臺北市 > 文山區"
"2016-01 > 立法委員 > 新北市 > 第01選區[區域]","2016 > 新北市 > 淡水區"
"2016-01 > 立法委員 > 新北市 > 第01選區[區域]","2016 > 新北市 > 泰山區"
"2016-01 > 立法委員 > 新北市 > 第01選區[區域]","2016 > 新北市 > 林口區"
"2016-01 > 立法委員 > 新北市 > 第01選區[區域]","2016 > 新北市 > 三芝區"
"2016-01 > 立法委員 > 新北市 > 第01選區[區域]","2016 > 新北市 > 石門區"
"2016-01 > 立法委員 > 新北市 > 第01選區[區域]","2016 > 新北市 > 八里區"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 永福里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 永清里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 五福里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 慈福里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 慈生里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 慈惠里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 慈愛里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 慈化里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 慈祐里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 五華里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 富貴里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 富華里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 富福里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 碧華里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 永順里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 三重區 > 仁華里"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 蘆洲區"
"2016-01 > 立法委員 > 新北市 > 第02選區[區域]","2016 > 新北市 > 五股區"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 大有里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 二重里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 頂崁里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 谷王里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 中興里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 德厚里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 成功里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福祉里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福民里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 過田里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 錦田里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 重明里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 光田里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 光陽里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 田心里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福田里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 田中里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 田安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 三民里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 光明里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 光正里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 同安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 同慶里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 菜寮里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永春里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 中正里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 吉利里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 大同里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 中民里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 平和里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 大安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 仁德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 忠孝里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 仁義里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 光榮里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 光輝里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福星里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福利里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 清和里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永興里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 中山里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 大園里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 國隆里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 重陽里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 民生里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 重新里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 正德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 正義里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 正安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 自強里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 文化里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 中央里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 雙園里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 錦通里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 錦安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 長安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 光華里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 長生里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 開元里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 大德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 長元里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 長江里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 長泰里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 長福里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 介壽里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 萬壽里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 錦江里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 龍濱里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 龍門里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 秀江里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 奕壽里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 三安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 信安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 安慶里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 幸福里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 六合里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 六福里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 順德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 承德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 瑞德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 崇德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 厚德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 維德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 尚德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 培德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永盛里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永安里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永煇里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 溪美里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福隆里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 五常里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 仁忠里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 五谷里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 博愛里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永吉里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永發里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 永豐里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 立德里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 福樂里"
"2016-01 > 立法委員 > 新北市 > 第03選區[區域]","2016 > 新北市 > 三重區 > 五順里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 海山里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 頭前里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 國泰里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 全安里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 福基里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 豐年里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 忠孝里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 恆安里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 後港里"
"2016-01 > 立法委員 > 新北市 > 第04選區[區域]","2016 > 新北市 > 新莊區 > 文衡里"
