臉書連結,候選人,類型,選區,選舉黃頁連結
https://zh-tw.facebook.com/wanfu.wu.5,吳萬福,直轄市山地原住民區長,"臺中市 > 和平區",http://k.olc.tw/elections/candidates/view/540b567a-8d74-44ed-a08c-1926acb5b862
https://zh-tw.facebook.com/people/Rangebaw-Kumula/100006597850153,宋能正,直轄市山地原住民區長,"高雄市 > 茂林區",http://k.olc.tw/elections/candidates/view/540b567a-a794-47c4-83df-1926acb5b862
https://www.facebook.com/dezheng1?fref=photo,張德政,直轄市山地原住民區長,"高雄市 > 桃源區",http://k.olc.tw/elections/candidates/view/540b567a-3e38-401c-a27d-1926acb5b862
https://zh-tw.facebook.com/dezheng1,張德政,直轄市山地原住民區長,"高雄市 > 桃源區",http://k.olc.tw/elections/candidates/view/540b567a-3e38-401c-a27d-1926acb5b862
https://zh-tw.facebook.com/people/%E6%9E%97%E5%95%9F%E6%98%8E/100002225449061,林啟明,直轄市山地原住民區長,"新北市 > 烏來區",http://k.olc.tw/elections/candidates/view/540b5678-daa0-47e3-ac55-1926acb5b862
https://zh-tw.facebook.com/people/%E6%9E%97%E5%95%9F%E6%98%8E/100001225360834,林啟明,直轄市山地原住民區長,"新北市 > 烏來區",http://k.olc.tw/elections/candidates/view/540b5678-daa0-47e3-ac55-1926acb5b862
https://zh-tw.facebook.com/public/%E8%AC%9D%E8%8B%B1%E9%9B%84,謝英雄,直轄市山地原住民區長,"高雄市 > 桃源區",http://k.olc.tw/elections/candidates/view/540b567a-84e0-4f28-8776-1926acb5b862
https://zh-tw.facebook.com/pages/%E8%AC%9D%E8%8B%B1%E9%9B%84%E6%97%A5%E5%BC%8F%E6%8B%89%E9%BA%B5%E7%87%92%E9%A4%83%E5%AD%90%E5%A5%97%E9%A4%90/125825544249002,謝英雄,直轄市山地原住民區長,"高雄市 > 桃源區",http://k.olc.tw/elections/candidates/view/540b567a-84e0-4f28-8776-1926acb5b862
http://www.facebook.com/profile.php?id=100004867263969,謝英雄,直轄市山地原住民區長,"高雄市 > 桃源區",http://k.olc.tw/elections/candidates/view/540b567a-84e0-4f28-8776-1926acb5b862
https://www.facebook.com/people/%E8%AC%9D%E9%80%B2%E8%B2%A1/100001572999874?fref=nf,謝進財,直轄市山地原住民區長,"高雄市 > 茂林區",http://k.olc.tw/elections/candidates/view/540b567a-cc18-47e2-b957-1926acb5b862
https://zh-tw.facebook.com/people/%E8%AC%9D%E9%80%B2%E8%B2%A1/1598247397,謝進財,直轄市山地原住民區長,"高雄市 > 茂林區",http://k.olc.tw/elections/candidates/view/540b567a-cc18-47e2-b957-1926acb5b862
https://www.facebook.com/people/%E8%AC%9D%E9%80%B2%E8%B2%A1/100001572999874?hc_location=timeline,謝進財,直轄市山地原住民區長,"高雄市 > 茂林區",http://k.olc.tw/elections/candidates/view/540b567a-cc18-47e2-b957-1926acb5b862
https://zh-tw.facebook.com/people/%E8%AC%9D%E9%80%B2%E8%B2%A1/100000138561636,謝進財,直轄市山地原住民區長,"高雄市 > 茂林區",http://k.olc.tw/elections/candidates/view/540b567a-cc18-47e2-b957-1926acb5b862
http://www.facebook.com/profile.php?id=100007586117512,陳子瀅,直轄市山地原住民區長,"桃園市 > 復興區",http://k.olc.tw/elections/candidates/view/540b5679-92f4-4593-bdb2-1926acb5b862
https://zh-tw.facebook.com/pages/%E9%99%B3%E5%AD%90%E7%80%85-%E6%80%9D%E9%A6%99/530979337029421?hc_location=timeline,陳子瀅,直轄市山地原住民區長,"桃園市 > 復興區",http://k.olc.tw/elections/candidates/view/540b5679-92f4-4593-bdb2-1926acb5b862
https://www.facebook.com/people/%E9%99%B3%E6%96%87%E6%9B%B8/100005234055662,陳文書,直轄市山地原住民區長,"臺中市 > 和平區",http://k.olc.tw/elections/candidates/view/540b5679-3e08-44d1-b803-1926acb5b862
https://zh-tw.facebook.com/people/%E4%BD%95%E5%BF%A0%E5%8B%87/100002219362511,何忠勇,直轄市山地原住民區民代表,"高雄市 > 茂林區 > 第01選舉區",http://k.olc.tw/elections/candidates/view/540b5676-0fec-4cb2-bf4c-1926acb5b862
https://zh-tw.facebook.com/samyu.tw,余文源,直轄市山地原住民區民代表,"桃園市 > 復興區 > 第01選舉區",http://k.olc.tw/elections/candidates/view/540b5672-a72c-4afc-9a88-1926acb5b862
https://zh-tw.facebook.com/fu.larry.9,傅龍源,直轄市山地原住民區民代表,"新北市 > 烏來區 > 第02選舉區",http://k.olc.tw/elections/candidates/view/540b5671-43dc-420f-88fb-1926acb5b862
