選舉區,登記日期,姓名,推薦之政黨,備註
臺北市松山區莊敬里,115/09/02,周政諭,中國國民黨,
臺北市松山區莊敬里,115/09/02,陳宏義,無,
臺北市松山區東榮里,115/09/03,鄭玉梅,無,
臺北市松山區三民里,115/09/02,謝翠鈴,中國國民黨,
臺北市松山區三民里,115/09/04,李士得,無,
臺北市松山區新益里,115/09/02,諸葛芬,中國國民黨,
臺北市松山區新益里,115/09/02,賴昱翔,無,
臺北市松山區富錦里,115/09/01,王振鴻,無,
臺北市松山區富錦里,115/09/03,莊智緯,中國國民黨,
臺北市松山區富錦里,115/09/04,李運強,無,
臺北市松山區新東里,115/09/02,華國雄,中國國民黨,
臺北市松山區富泰里,115/09/02,辜阿雪,無,
臺北市松山區富泰里,115/09/02,吳學毅,中國國民黨,
臺北市松山區介壽里,115/08/31,蔡錦文,無,
臺北市松山區精忠里,115/09/01,賴美旭,中國國民黨,
臺北市松山區東光里,115/08/31,洪政雄,無,
臺北市松山區東光里,115/09/02,許秀雲,中國國民黨,
臺北市松山區龍田里,115/08/31,袁俊麒,無,
臺北市松山區龍田里,115/09/02,侯鳳翔,無,
臺北市松山區龍田里,115/09/03,商翠芬,無,
臺北市松山區龍田里,115/09/04,黃淑芬,中國國民黨,
臺北市松山區龍田里,115/09/04,顧云綱,無,
臺北市松山區東昌里,115/09/01,陳怡欣,無,
臺北市松山區東昌里,115/09/02,陳志明,中國國民黨,
臺北市松山區東勢里,115/09/03,王叔珍,無,
臺北市松山區中華里,115/09/03,游吉興,中國國民黨,
臺北市松山區民有里,115/09/03,林國瑞,無,
臺北市松山區民福里,115/09/02,李麗容,無,
臺北市松山區民福里,115/09/02,蔡朝聰,無,
臺北市松山區慈祐里,115/09/04,李祖民,無,
臺北市松山區安平里,115/09/02,洪温滿,無,
臺北市松山區安平里,115/09/03,蕭素玲,中華文化復興在理黨,
臺北市松山區鵬程里,115/09/02,范碧珠,中國國民黨,
臺北市松山區鵬程里,115/09/02,尹德財,無,
臺北市松山區鵬程里,115/09/03,洪豊凱,無,
臺北市松山區自強里,115/08/31,魏振康,中國國民黨,
臺北市松山區自強里,115/09/01,余振華,中國國民黨,
臺北市松山區自強里,115/09/01,陳錦花,中國國民黨,
臺北市松山區自強里,115/09/04,梁信文,無,
臺北市松山區吉祥里,115/08/31,林志彥,無,
臺北市松山區吉祥里,115/09/02,丁麗君,無,
臺北市松山區吉祥里,115/09/04,陳永昌,中國國民黨,
臺北市松山區新聚里,115/09/01,黃治嘉,無,
臺北市松山區新聚里,115/09/04,郭秀鳳,中國國民黨,
臺北市松山區復盛里,115/09/02,張晉維,無,
臺北市松山區復盛里,115/09/02,李佳真,中國國民黨,
臺北市松山區中正里,115/09/02,洪樸陽,無,
臺北市松山區中崙里,115/09/02,林千又,無,
臺北市松山區中崙里,115/09/03,張元誌,中國國民黨,
臺北市松山區美仁里,115/09/02,林志創,中國國民黨,
臺北市松山區吉仁里,115/09/02,李全長,無,
臺北市松山區敦化里,115/08/31,邵耀德,無,
臺北市松山區敦化里,115/09/02,蘇榮文,中國國民黨,
臺北市松山區復源里,115/09/03,温福義,中國國民黨,
臺北市松山區復建里,115/08/31,林坤信,中國國民黨,
臺北市松山區復建里,115/08/31,張鎧麒,無,
臺北市松山區復建里,115/09/03,胡歡,無,
臺北市松山區復勢里,115/09/03,徐麗雲,中國國民黨,
臺北市松山區福成里,115/09/02,葉佐良,中國國民黨,
臺北市松山區福成里,115/09/02,林順松,無,
臺北市松山區松基里,115/09/03,劉佳詩,無,
臺北市松山區松基里,115/09/04,李坤霖,無,
臺北市信義區西村里,115/09/02,鄭鴻麗,中國國民黨,
臺北市信義區西村里,115/09/02,趙行蕙,中國國民黨,
臺北市信義區西村里,115/09/04,黃鵬樺,無,
臺北市信義區正和里,115/09/02,董玲娥,中國國民黨,
臺北市信義區正和里,115/09/03,尹俊富,無,
臺北市信義區興隆里,115/08/31,吉娃斯．吉 果,中國國民黨,
臺北市信義區興隆里,115/09/02,吳伯英,無,
臺北市信義區中興里,115/09/02,趙惠美,中國國民黨,
臺北市信義區中興里,115/09/04,吳孟環,無,
臺北市信義區新仁里,115/09/02,吳建德,無,
臺北市信義區興雅里,115/08/31,馬強,無,
臺北市信義區興雅里,115/09/04,林素琴,中國國民黨,
臺北市信義區敦厚里,115/08/31,方聰杰,中國國民黨,
臺北市信義區敦厚里,115/08/31,蘇祐緯,無,
臺北市信義區廣居里,115/09/02,楊玉堂,中國國民黨,
臺北市信義區安康里,115/08/31,顏素冠,無,
臺北市信義區安康里,115/08/31,蔡雲明,無,
臺北市信義區安康里,115/09/02,萬宇恆,中國國民黨,
臺北市信義區安康里,115/09/03,楊嘉能,無,
臺北市信義區六藝里,115/09/02,丁禾溱,中國國民黨,
臺北市信義區雅祥里,115/09/02,宋美玲,無,
臺北市信義區雅祥里,115/09/03,黃鈺惠,中國國民黨,
臺北市信義區雅祥里,115/09/04,林信介,無,
