選區,姓名,政黨,候選人網址,選區網址
"2014 > 直轄市議員 > 臺南市 > 第12選區[區域]",邱莉莉,民主進步黨,http://k.olc.tw/elections/candidates/view/53c68fb0-4084-44d1-bf90-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c400ad-0850-42da-88e8-6cceacb5b862
"2014 > 直轄市議員 > 臺南市 > 第12選區[區域]",洪玉鳳,中國國民黨,http://k.olc.tw/elections/candidates/view/53c68fb0-62e4-48db-9dfc-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c400ad-0850-42da-88e8-6cceacb5b862
"2014 > 直轄市議員 > 臺南市 > 第13選區[區域]",李文正,民主進步黨,http://k.olc.tw/elections/candidates/view/53c68fb0-6ad0-4fc4-a9cb-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c400ad-9b4c-463e-8a59-6cceacb5b862
"2014 > 直轄市議員 > 臺南市 > 第13選區[區域]",盧崑福,中國國民黨,http://k.olc.tw/elections/candidates/view/53c68fb0-7e58-4681-b94b-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c400ad-9b4c-463e-8a59-6cceacb5b862
"2014 > 直轄市山地原住民區民代表 > 新北市 > 烏來區 > 第03選舉區",黃清波,無,http://k.olc.tw/elections/candidates/view/540b5672-cef4-4b69-9203-1926acb5b862,http://k.olc.tw/elections/candidates/index/53c423a3-89e0-42c8-ad6f-72c8acb5b862
"2014 > 縣市議員 > 新竹縣 > 第07選區[區域]",林政良,中國國民黨,http://k.olc.tw/elections/candidates/view/53c68f77-17c8-4ebb-be79-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c41055-a9a4-4a99-9f2e-6f55acb5b862
"2014 > 縣市議員 > 新竹縣 > 第09選區[區域]",邱振瑋,無,http://k.olc.tw/elections/candidates/view/53c68f78-7724-40aa-b632-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c41059-5724-48fb-9e77-6f55acb5b862
"2014 > 縣市議員 > 苗栗縣 > 第07選區[平地]",潘秋榮,中國國民黨,http://k.olc.tw/elections/candidates/view/53c68f7b-00b8-49a9-af4c-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c4108b-a638-4cff-84de-6f55acb5b862
"2014 > 縣市議員 > 南投縣 > 第07選區[山地]",史清水,中國國民黨,http://k.olc.tw/elections/candidates/view/53c68f82-b3d4-43ac-8c76-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c4110c-87e4-4e85-91e7-6f55acb5b862
"2014 > 縣市議員 > 嘉義縣 > 第06選區[區域]",張明達,民主進步黨,http://k.olc.tw/elections/candidates/view/53c68f85-2c14-4e3f-bce4-0f15acb5b862,http://k.olc.tw/elections/candidates/index/53c4114e-b0cc-44c7-b320-6f55acb5b862
