ivid,id,name,town,county,vid,icid,itid
LJF-010-001,09007010-001,介壽村,南竿鄉,連江縣,001,LJF,LJF-010
LJF-010-002,09007010-002,復興村,南竿鄉,連江縣,002,LJF,LJF-010
LJF-010-003,09007010-003,福沃村,南竿鄉,連江縣,003,LJF,LJF-010
LJF-010-004,09007010-004,清水村,南竿鄉,連江縣,004,LJF,LJF-010
LJF-010-005,09007010-005,仁愛村,南竿鄉,連江縣,005,LJF,LJF-010
LJF-010-006,09007010-006,津沙村,南竿鄉,連江縣,006,LJF,LJF-010
LJF-010-007,09007010-007,馬祖村,南竿鄉,連江縣,007,LJF,LJF-010
LJF-010-008,09007010-008,珠螺村,南竿鄉,連江縣,008,LJF,LJF-010
LJF-010-009,09007010-009,四維村,南竿鄉,連江縣,009,LJF,LJF-010
LJF-020-001,09007020-001,塘岐村,北竿鄉,連江縣,001,LJF,LJF-020
LJF-020-002,09007020-002,后沃村,北竿鄉,連江縣,002,LJF,LJF-020
LJF-020-003,09007020-003,橋仔村,北竿鄉,連江縣,003,LJF,LJF-020
LJF-020-004,09007020-004,芹壁村,北竿鄉,連江縣,004,LJF,LJF-020
LJF-020-005,09007020-005,坂里村,北竿鄉,連江縣,005,LJF,LJF-020
LJF-020-006,09007020-006,白沙村,北竿鄉,連江縣,006,LJF,LJF-020
LJF-030-001,09007030-001,青帆村,莒光鄉,連江縣,001,LJF,LJF-030
LJF-030-002,09007030-002,田沃村,莒光鄉,連江縣,002,LJF,LJF-030
LJF-030-003,09007030-003,西坵村,莒光鄉,連江縣,003,LJF,LJF-030
LJF-030-004,09007030-004,福正村,莒光鄉,連江縣,004,LJF,LJF-030
LJF-030-005,09007030-005,大坪村,莒光鄉,連江縣,005,LJF,LJF-030
LJF-040-001,09007040-001,中柳村,東引鄉,連江縣,001,LJF,LJF-040
LJF-040-002,09007040-002,樂華村,東引鄉,連江縣,002,LJF,LJF-040
JME-010-001,09020010-001,東門里,金城鎮,金門縣,001,JME,JME-010
JME-010-002,09020010-002,西門里,金城鎮,金門縣,002,JME,JME-010
JME-010-003,09020010-003,南門里,金城鎮,金門縣,003,JME,JME-010
JME-010-004,09020010-004,北門里,金城鎮,金門縣,004,JME,JME-010
JME-010-005,09020010-005,古城里,金城鎮,金門縣,005,JME,JME-010
JME-010-006,09020010-006,金水里,金城鎮,金門縣,006,JME,JME-010
JME-010-007,09020010-007,珠沙里,金城鎮,金門縣,007,JME,JME-010
JME-010-008,09020010-008,賢庵里,金城鎮,金門縣,008,JME,JME-010
JME-020-001,09020020-001,汶沙里,金沙鎮,金門縣,001,JME,JME-020
JME-020-002,09020020-002,三山里,金沙鎮,金門縣,002,JME,JME-020
JME-020-003,09020020-003,大洋里,金沙鎮,金門縣,003,JME,JME-020
JME-020-004,09020020-004,光前里,金沙鎮,金門縣,004,JME,JME-020
JME-020-005,09020020-005,何斗里,金沙鎮,金門縣,005,JME,JME-020
JME-020-006,09020020-006,西園里,金沙鎮,金門縣,006,JME,JME-020
JME-020-007,09020020-007,官嶼里,金沙鎮,金門縣,007,JME,JME-020
JME-020-008,09020020-008,浦山里,金沙鎮,金門縣,008,JME,JME-020
JME-030-001,09020030-001,新市里,金湖鎮,金門縣,001,JME,JME-030
JME-030-002,09020030-002,山外里,金湖鎮,金門縣,002,JME,JME-030
JME-030-003,09020030-003,正義里,金湖鎮,金門縣,003,JME,JME-030
JME-030-004,09020030-004,料羅里,金湖鎮,金門縣,004,JME,JME-030
JME-030-005,09020030-005,瓊林里,金湖鎮,金門縣,005,JME,JME-030
JME-030-006,09020030-006,新湖里,金湖鎮,金門縣,006,JME,JME-030
JME-030-007,09020030-007,溪湖里,金湖鎮,金門縣,007,JME,JME-030
JME-030-008,09020030-008,蓮庵里,金湖鎮,金門縣,008,JME,JME-030
JME-040-001,09020040-001,古寧村,金寧鄉,金門縣,001,JME,JME-040
JME-040-002,09020040-002,安美村,金寧鄉,金門縣,002,JME,JME-040
JME-040-003,09020040-003,后盤村,金寧鄉,金門縣,003,JME,JME-040
JME-040-004,09020040-004,湖埔村,金寧鄉,金門縣,004,JME,JME-040
JME-040-005,09020040-005,榜林村,金寧鄉,金門縣,005,JME,JME-040
JME-040-006,09020040-006,盤山村,金寧鄉,金門縣,006,JME,JME-040
JME-050-001,09020050-001,上岐村,烈嶼鄉,金門縣,001,JME,JME-050
JME-050-002,09020050-002,上林村,烈嶼鄉,金門縣,002,JME,JME-050
JME-050-003,09020050-003,西口村,烈嶼鄉,金門縣,003,JME,JME-050
JME-050-004,09020050-004,林湖村,烈嶼鄉,金門縣,004,JME,JME-050
JME-050-005,09020050-005,黃埔村,烈嶼鄉,金門縣,005,JME,JME-050
JME-060-001,09020060-001,大坵村,烏坵鄉,金門縣,001,JME,JME-020
JME-060-002,09020060-002,小坵村,烏坵鄉,金門縣,001,JME,JME-020
ILA-010-001,10002010-001,神農里,宜蘭市,宜蘭縣,001,ILA,ILA-010
ILA-010-002,10002010-002,民權里,宜蘭市,宜蘭縣,002,ILA,ILA-010
ILA-010-008,10002010-008,進士里,宜蘭市,宜蘭縣,008,ILA,ILA-010
ILA-010-009,10002010-009,南橋里,宜蘭市,宜蘭縣,009,ILA,ILA-010
ILA-010-010,10002010-010,建業里,宜蘭市,宜蘭縣,010,ILA,ILA-010
ILA-010-011,10002010-011,南津里,宜蘭市,宜蘭縣,011,ILA,ILA-010
ILA-010-012,10002010-012,凱旋里,宜蘭市,宜蘭縣,012,ILA,ILA-010
ILA-010-013,10002010-013,黎明里,宜蘭市,宜蘭縣,013,ILA,ILA-010
ILA-010-014,10002010-014,東村里,宜蘭市,宜蘭縣,014,ILA,ILA-010
ILA-010-015,10002010-015,延平里,宜蘭市,宜蘭縣,015,ILA,ILA-010
ILA-010-016,10002010-016,七張里,宜蘭市,宜蘭縣,016,ILA,ILA-010
ILA-010-017,10002010-017,慈安里,宜蘭市,宜蘭縣,017,ILA,ILA-010
ILA-010-018,10002010-018,新民里,宜蘭市,宜蘭縣,018,ILA,ILA-010
ILA-010-019,10002010-019,東門里,宜蘭市,宜蘭縣,019,ILA,ILA-010
ILA-010-021,10002010-021,小東里,宜蘭市,宜蘭縣,021,ILA,ILA-010
ILA-010-022,10002010-022,菜園里,宜蘭市,宜蘭縣,022,ILA,ILA-010
ILA-010-023,10002010-023,孝廉里,宜蘭市,宜蘭縣,023,ILA,ILA-010
ILA-010-024,10002010-024,新生里,宜蘭市,宜蘭縣,024,ILA,ILA-010
ILA-010-025,10002010-025,茭白里,宜蘭市,宜蘭縣,025,ILA,ILA-010
ILA-010-026,10002010-026,北津里,宜蘭市,宜蘭縣,026,ILA,ILA-010
ILA-010-027,10002010-027,梅洲里,宜蘭市,宜蘭縣,027,ILA,ILA-010
ILA-010-028,10002010-028,北門里,宜蘭市,宜蘭縣,028,ILA,ILA-010
ILA-010-031,10002010-031,中山里,宜蘭市,宜蘭縣,031,ILA,ILA-010
ILA-010-032,10002010-032,西門里,宜蘭市,宜蘭縣,032,ILA,ILA-010
ILA-010-034,10002010-034,南門里,宜蘭市,宜蘭縣,034,ILA,ILA-010
ILA-010-035,10002010-035,負郭里,宜蘭市,宜蘭縣,035,ILA,ILA-010
ILA-010-036,10002010-036,民族里,宜蘭市,宜蘭縣,036,ILA,ILA-010
ILA-010-037,10002010-037,建軍里,宜蘭市,宜蘭縣,037,ILA,ILA-010
ILA-010-038,10002010-038,思源里,宜蘭市,宜蘭縣,038,ILA,ILA-010
ILA-010-039,10002010-039,文化里,宜蘭市,宜蘭縣,039,ILA,ILA-010
ILA-010-040,10002010-040,復興里,宜蘭市,宜蘭縣,040,ILA,ILA-010
ILA-010-041,10002010-041,成功里,宜蘭市,宜蘭縣,041,ILA,ILA-010
ILA-010-042,10002010-042,新東里,宜蘭市,宜蘭縣,042,ILA,ILA-010
ILA-010-043,10002010-043,七結里,宜蘭市,宜蘭縣,043,ILA,ILA-010
ILA-010-044,10002010-044,泰山里,宜蘭市,宜蘭縣,044,ILA,ILA-010
ILA-010-045,10002010-045,大新里,宜蘭市,宜蘭縣,045,ILA,ILA-010
ILA-010-046,10002010-046,中興里,宜蘭市,宜蘭縣,046,ILA,ILA-010
ILA-010-047,10002010-047,擺厘里,宜蘭市,宜蘭縣,047,ILA,ILA-010
ILA-020-004,10002020-004,大新里,羅東鎮,宜蘭縣,004,ILA,ILA-020
ILA-020-005,10002020-005,東安里,羅東鎮,宜蘭縣,005,ILA,ILA-020
ILA-020-006,10002020-006,新群里,羅東鎮,宜蘭縣,006,ILA,ILA-020
ILA-020-007,10002020-007,羅莊里,羅東鎮,宜蘭縣,007,ILA,ILA-020
ILA-020-008,10002020-008,南昌里,羅東鎮,宜蘭縣,008,ILA,ILA-020
ILA-020-009,10002020-009,南豪里,羅東鎮,宜蘭縣,009,ILA,ILA-020
ILA-020-010,10002020-010,成功里,羅東鎮,宜蘭縣,010,ILA,ILA-020
ILA-020-011,10002020-011,仁德里,羅東鎮,宜蘭縣,011,ILA,ILA-020
ILA-020-016,10002020-016,漢民里,羅東鎮,宜蘭縣,016,ILA,ILA-020
ILA-020-017,10002020-017,西安里,羅東鎮,宜蘭縣,017,ILA,ILA-020
ILA-020-018,10002020-018,北成里,羅東鎮,宜蘭縣,018,ILA,ILA-020
ILA-020-019,10002020-019,賢文里,羅東鎮,宜蘭縣,019,ILA,ILA-020
ILA-020-020,10002020-020,公正里,羅東鎮,宜蘭縣,020,ILA,ILA-020
ILA-020-021,10002020-021,集祥里,羅東鎮,宜蘭縣,021,ILA,ILA-020
ILA-020-022,10002020-022,信義里,羅東鎮,宜蘭縣,022,ILA,ILA-020
ILA-020-023,10002020-023,竹林里,羅東鎮,宜蘭縣,023,ILA,ILA-020
ILA-020-024,10002020-024,仁愛里,羅東鎮,宜蘭縣,024,ILA,ILA-020
ILA-020-025,10002020-025,樹林里,羅東鎮,宜蘭縣,025,ILA,ILA-020
ILA-020-026,10002020-026,國華里,羅東鎮,宜蘭縣,026,ILA,ILA-020
ILA-020-027,10002020-027,維揚里,羅東鎮,宜蘭縣,027,ILA,ILA-020
ILA-020-028,10002020-028,開明里,羅東鎮,宜蘭縣,028,ILA,ILA-020
ILA-020-029,10002020-029,中山里,羅東鎮,宜蘭縣,029,ILA,ILA-020
ILA-020-030,10002020-030,仁和里,羅東鎮,宜蘭縣,030,ILA,ILA-020
ILA-030-001,10002030-001,龍德里,蘇澳鎮,宜蘭縣,001,ILA,ILA-030
ILA-030-002,10002030-002,頂寮里,蘇澳鎮,宜蘭縣,002,ILA,ILA-030
ILA-030-003,10002030-003,永榮里,蘇澳鎮,宜蘭縣,003,ILA,ILA-030
ILA-030-004,10002030-004,存仁里,蘇澳鎮,宜蘭縣,004,ILA,ILA-030
ILA-030-005,10002030-005,港邊里,蘇澳鎮,宜蘭縣,005,ILA,ILA-030
ILA-030-007,10002030-007,隘丁里,蘇澳鎮,宜蘭縣,007,ILA,ILA-030
ILA-030-008,10002030-008,新城里,蘇澳鎮,宜蘭縣,008,ILA,ILA-030
ILA-030-009,10002030-009,聖湖里,蘇澳鎮,宜蘭縣,009,ILA,ILA-030
ILA-030-010,10002030-010,蘇西里,蘇澳鎮,宜蘭縣,010,ILA,ILA-030
ILA-030-011,10002030-011,蘇北里,蘇澳鎮,宜蘭縣,011,ILA,ILA-030
