ivid,id,name,town,county,vid,icid,itid
ILA-030-012,10002030-012,蘇南里,蘇澳鎮,宜蘭縣,012,ILA,ILA-030
ILA-030-013,10002030-013,蘇東里,蘇澳鎮,宜蘭縣,013,ILA,ILA-030
ILA-030-014,10002030-014,長安里,蘇澳鎮,宜蘭縣,014,ILA,ILA-030
ILA-030-015,10002030-015,永光里,蘇澳鎮,宜蘭縣,015,ILA,ILA-030
ILA-030-016,10002030-016,永春里,蘇澳鎮,宜蘭縣,016,ILA,ILA-030
ILA-030-017,10002030-017,永樂里,蘇澳鎮,宜蘭縣,017,ILA,ILA-030
ILA-030-018,10002030-018,南安里,蘇澳鎮,宜蘭縣,018,ILA,ILA-030
ILA-030-019,10002030-019,南正里,蘇澳鎮,宜蘭縣,019,ILA,ILA-030
ILA-030-020,10002030-020,南成里,蘇澳鎮,宜蘭縣,020,ILA,ILA-030
ILA-030-021,10002030-021,南興里,蘇澳鎮,宜蘭縣,021,ILA,ILA-030
ILA-030-022,10002030-022,南寧里,蘇澳鎮,宜蘭縣,022,ILA,ILA-030
ILA-030-023,10002030-023,南建里,蘇澳鎮,宜蘭縣,023,ILA,ILA-030
ILA-030-024,10002030-024,東澳里,蘇澳鎮,宜蘭縣,024,ILA,ILA-030
ILA-030-025,10002030-025,南強里,蘇澳鎮,宜蘭縣,025,ILA,ILA-030
ILA-030-026,10002030-026,朝陽里,蘇澳鎮,宜蘭縣,026,ILA,ILA-030
ILA-030-027,10002030-027,聖愛里,蘇澳鎮,宜蘭縣,027,ILA,ILA-030
ILA-040-001,10002040-001,石城里,頭城鎮,宜蘭縣,001,ILA,ILA-040
ILA-040-002,10002040-002,大里里,頭城鎮,宜蘭縣,002,ILA,ILA-040
ILA-040-003,10002040-003,大溪里,頭城鎮,宜蘭縣,003,ILA,ILA-040
ILA-040-004,10002040-004,合興里,頭城鎮,宜蘭縣,004,ILA,ILA-040
ILA-040-005,10002040-005,更新里,頭城鎮,宜蘭縣,005,ILA,ILA-040
ILA-040-006,10002040-006,外澳里,頭城鎮,宜蘭縣,006,ILA,ILA-040
ILA-040-007,10002040-007,港口里,頭城鎮,宜蘭縣,007,ILA,ILA-040
ILA-040-008,10002040-008,武營里,頭城鎮,宜蘭縣,008,ILA,ILA-040
ILA-040-009,10002040-009,大坑里,頭城鎮,宜蘭縣,009,ILA,ILA-040
ILA-040-010,10002040-010,城東里,頭城鎮,宜蘭縣,010,ILA,ILA-040
ILA-040-011,10002040-011,城北里,頭城鎮,宜蘭縣,011,ILA,ILA-040
ILA-040-012,10002040-012,城西里,頭城鎮,宜蘭縣,012,ILA,ILA-040
ILA-040-013,10002040-013,城南里,頭城鎮,宜蘭縣,013,ILA,ILA-040
ILA-040-014,10002040-014,竹安里,頭城鎮,宜蘭縣,014,ILA,ILA-040
ILA-040-015,10002040-015,新建里,頭城鎮,宜蘭縣,015,ILA,ILA-040
ILA-040-016,10002040-016,拔雅里,頭城鎮,宜蘭縣,016,ILA,ILA-040
ILA-040-017,10002040-017,福成里,頭城鎮,宜蘭縣,017,ILA,ILA-040
ILA-040-018,10002040-018,金面里,頭城鎮,宜蘭縣,018,ILA,ILA-040
ILA-040-019,10002040-019,金盈里,頭城鎮,宜蘭縣,019,ILA,ILA-040
ILA-040-020,10002040-020,頂埔里,頭城鎮,宜蘭縣,020,ILA,ILA-040
ILA-040-021,10002040-021,下埔里,頭城鎮,宜蘭縣,021,ILA,ILA-040
ILA-040-022,10002040-022,中崙里,頭城鎮,宜蘭縣,022,ILA,ILA-040
ILA-040-023,10002040-023,二城里,頭城鎮,宜蘭縣,023,ILA,ILA-040
ILA-040-024,10002040-024,龜山里,頭城鎮,宜蘭縣,024,ILA,ILA-040
ILA-050-001,10002050-001,白雲村,礁溪鄉,宜蘭縣,001,ILA,ILA-050
ILA-050-002,10002050-002,玉石村,礁溪鄉,宜蘭縣,002,ILA,ILA-050
ILA-050-003,10002050-003,德陽村,礁溪鄉,宜蘭縣,003,ILA,ILA-050
ILA-050-004,10002050-004,大忠村,礁溪鄉,宜蘭縣,004,ILA,ILA-050
ILA-050-005,10002050-005,大義村,礁溪鄉,宜蘭縣,005,ILA,ILA-050
ILA-050-006,10002050-006,六結村,礁溪鄉,宜蘭縣,006,ILA,ILA-050
ILA-050-007,10002050-007,二龍村,礁溪鄉,宜蘭縣,007,ILA,ILA-050
ILA-050-008,10002050-008,時潮村,礁溪鄉,宜蘭縣,008,ILA,ILA-050
ILA-050-009,10002050-009,玉田村,礁溪鄉,宜蘭縣,009,ILA,ILA-050
ILA-050-010,10002050-010,三民村,礁溪鄉,宜蘭縣,010,ILA,ILA-050
ILA-050-011,10002050-011,林美村,礁溪鄉,宜蘭縣,011,ILA,ILA-050
ILA-050-012,10002050-012,白鵝村,礁溪鄉,宜蘭縣,012,ILA,ILA-050
ILA-050-013,10002050-013,玉光村,礁溪鄉,宜蘭縣,013,ILA,ILA-050
ILA-050-014,10002050-014,光武村,礁溪鄉,宜蘭縣,014,ILA,ILA-050
ILA-050-015,10002050-015,吳沙村,礁溪鄉,宜蘭縣,015,ILA,ILA-050
ILA-050-016,10002050-016,龍潭村,礁溪鄉,宜蘭縣,016,ILA,ILA-050
ILA-050-017,10002050-017,匏崙村,礁溪鄉,宜蘭縣,017,ILA,ILA-050
ILA-050-018,10002050-018,二結村,礁溪鄉,宜蘭縣,018,ILA,ILA-050
ILA-060-001,10002060-001,吉祥村,壯圍鄉,宜蘭縣,001,ILA,ILA-060
ILA-060-002,10002060-002,美福村,壯圍鄉,宜蘭縣,002,ILA,ILA-060
ILA-060-003,10002060-003,新南村,壯圍鄉,宜蘭縣,003,ILA,ILA-060
ILA-060-004,10002060-004,東港村,壯圍鄉,宜蘭縣,004,ILA,ILA-060
ILA-060-005,10002060-005,復興村,壯圍鄉,宜蘭縣,005,ILA,ILA-060
ILA-060-006,10002060-006,過嶺村,壯圍鄉,宜蘭縣,006,ILA,ILA-060
ILA-060-007,10002060-007,永鎮村,壯圍鄉,宜蘭縣,007,ILA,ILA-060
ILA-060-008,10002060-008,忠孝村,壯圍鄉,宜蘭縣,008,ILA,ILA-060
ILA-060-009,10002060-009,古亭村,壯圍鄉,宜蘭縣,009,ILA,ILA-060
ILA-060-010,10002060-010,功勞村,壯圍鄉,宜蘭縣,010,ILA,ILA-060
ILA-060-011,10002060-011,美城村,壯圍鄉,宜蘭縣,011,ILA,ILA-060
ILA-060-012,10002060-012,新社村,壯圍鄉,宜蘭縣,012,ILA,ILA-060
ILA-060-013,10002060-013,大福村,壯圍鄉,宜蘭縣,013,ILA,ILA-060
ILA-060-014,10002060-014,古結村,壯圍鄉,宜蘭縣,014,ILA,ILA-060
ILA-070-001,10002070-001,員山村,員山鄉,宜蘭縣,001,ILA,ILA-070
ILA-070-002,10002070-002,尚德村,員山鄉,宜蘭縣,002,ILA,ILA-070
ILA-070-003,10002070-003,惠好村,員山鄉,宜蘭縣,003,ILA,ILA-070
ILA-070-004,10002070-004,七賢村,員山鄉,宜蘭縣,004,ILA,ILA-070
ILA-070-005,10002070-005,深溝村,員山鄉,宜蘭縣,005,ILA,ILA-070
ILA-070-006,10002070-006,蓁巷村,員山鄉,宜蘭縣,006,ILA,ILA-070
ILA-070-007,10002070-007,內城村,員山鄉,宜蘭縣,007,ILA,ILA-070
ILA-070-008,10002070-008,中華村,員山鄉,宜蘭縣,008,ILA,ILA-070
ILA-070-009,10002070-009,永和村,員山鄉,宜蘭縣,009,ILA,ILA-070
ILA-070-010,10002070-010,頭分村,員山鄉,宜蘭縣,010,ILA,ILA-070
ILA-070-011,10002070-011,枕山村,員山鄉,宜蘭縣,011,ILA,ILA-070
ILA-070-012,10002070-012,同樂村,員山鄉,宜蘭縣,012,ILA,ILA-070
ILA-070-013,10002070-013,湖東村,員山鄉,宜蘭縣,013,ILA,ILA-070
ILA-070-014,10002070-014,逸仙村,員山鄉,宜蘭縣,014,ILA,ILA-070
ILA-070-015,10002070-015,湖北村,員山鄉,宜蘭縣,015,ILA,ILA-070
ILA-070-016,10002070-016,湖西村,員山鄉,宜蘭縣,016,ILA,ILA-070
ILA-080-001,10002080-001,武淵村,冬山鄉,宜蘭縣,001,ILA,ILA-080
ILA-080-002,10002080-002,珍珠村,冬山鄉,宜蘭縣,002,ILA,ILA-080
ILA-080-003,10002080-003,補城村,冬山鄉,宜蘭縣,003,ILA,ILA-080
ILA-080-004,10002080-004,三奇村,冬山鄉,宜蘭縣,004,ILA,ILA-080
ILA-080-005,10002080-005,大興村,冬山鄉,宜蘭縣,005,ILA,ILA-080
ILA-080-006,10002080-006,東城村,冬山鄉,宜蘭縣,006,ILA,ILA-080
ILA-080-007,10002080-007,香和村,冬山鄉,宜蘭縣,007,ILA,ILA-080
ILA-080-008,10002080-008,南興村,冬山鄉,宜蘭縣,008,ILA,ILA-080
ILA-080-009,10002080-009,冬山村,冬山鄉,宜蘭縣,009,ILA,ILA-080
ILA-080-010,10002080-010,安平村,冬山鄉,宜蘭縣,010,ILA,ILA-080
ILA-080-011,10002080-011,太和村,冬山鄉,宜蘭縣,011,ILA,ILA-080
ILA-080-012,10002080-012,八寶村,冬山鄉,宜蘭縣,012,ILA,ILA-080
ILA-080-013,10002080-013,丸山村,冬山鄉,宜蘭縣,013,ILA,ILA-080
ILA-080-014,10002080-014,中山村,冬山鄉,宜蘭縣,014,ILA,ILA-080
ILA-080-015,10002080-015,順安村,冬山鄉,宜蘭縣,015,ILA,ILA-080
ILA-080-016,10002080-016,永美村,冬山鄉,宜蘭縣,016,ILA,ILA-080
ILA-080-017,10002080-017,群英村,冬山鄉,宜蘭縣,017,ILA,ILA-080
ILA-080-018,10002080-018,清溝村,冬山鄉,宜蘭縣,018,ILA,ILA-080
ILA-080-019,10002080-019,鹿埔村,冬山鄉,宜蘭縣,019,ILA,ILA-080
ILA-080-020,10002080-020,得安村,冬山鄉,宜蘭縣,020,ILA,ILA-080
ILA-080-021,10002080-021,廣興村,冬山鄉,宜蘭縣,021,ILA,ILA-080
ILA-080-022,10002080-022,廣安村,冬山鄉,宜蘭縣,022,ILA,ILA-080
ILA-080-023,10002080-023,柯林村,冬山鄉,宜蘭縣,023,ILA,ILA-080
ILA-080-024,10002080-024,大進村,冬山鄉,宜蘭縣,024,ILA,ILA-080
ILA-090-001,10002090-001,三興村,五結鄉,宜蘭縣,001,ILA,ILA-090
ILA-090-002,10002090-002,二結村,五結鄉,宜蘭縣,002,ILA,ILA-090
ILA-090-003,10002090-003,鎮安村,五結鄉,宜蘭縣,003,ILA,ILA-090
ILA-090-004,10002090-004,上四村,五結鄉,宜蘭縣,004,ILA,ILA-090
ILA-090-005,10002090-005,中興村,五結鄉,宜蘭縣,005,ILA,ILA-090
ILA-090-006,10002090-006,四結村,五結鄉,宜蘭縣,006,ILA,ILA-090
ILA-090-007,10002090-007,福興村,五結鄉,宜蘭縣,007,ILA,ILA-090
ILA-090-008,10002090-008,五結村,五結鄉,宜蘭縣,008,ILA,ILA-090
ILA-090-009,10002090-009,大吉村,五結鄉,宜蘭縣,009,ILA,ILA-090
ILA-090-010,10002090-010,協和村,五結鄉,宜蘭縣,010,ILA,ILA-090
ILA-090-011,10002090-011,孝威村,五結鄉,宜蘭縣,011,ILA,ILA-090
ILA-090-012,10002090-012,錦眾村,五結鄉,宜蘭縣,012,ILA,ILA-090
ILA-090-013,10002090-013,利澤村,五結鄉,宜蘭縣,013,ILA,ILA-090
ILA-090-014,10002090-014,成興村,五結鄉,宜蘭縣,014,ILA,ILA-090
ILA-090-015,10002090-015,季新村,五結鄉,宜蘭縣,015,ILA,ILA-090
ILA-100-001,10002100-001,員山村,三星鄉,宜蘭縣,001,ILA,ILA-100
ILA-100-002,10002100-002,天山村,三星鄉,宜蘭縣,002,ILA,ILA-100
ILA-100-003,10002100-003,天福村,三星鄉,宜蘭縣,003,ILA,ILA-100
ILA-100-004,10002100-004,雙賢村,三星鄉,宜蘭縣,004,ILA,ILA-100
ILA-100-005,10002100-005,人和村,三星鄉,宜蘭縣,005,ILA,ILA-100
ILA-100-006,10002100-006,義德村,三星鄉,宜蘭縣,006,ILA,ILA-100
ILA-100-007,10002100-007,集慶村,三星鄉,宜蘭縣,007,ILA,ILA-100
ILA-100-008,10002100-008,月眉村,三星鄉,宜蘭縣,008,ILA,ILA-100
ILA-100-009,10002100-009,拱照村,三星鄉,宜蘭縣,009,ILA,ILA-100
ILA-100-010,10002100-010,大隱村,三星鄉,宜蘭縣,010,ILA,ILA-100
ILA-100-011,10002100-011,行健村,三星鄉,宜蘭縣,011,ILA,ILA-100
ILA-100-012,10002100-012,萬德村,三星鄉,宜蘭縣,012,ILA,ILA-100
ILA-100-013,10002100-013,貴林村,三星鄉,宜蘭縣,013,ILA,ILA-100
ILA-100-014,10002100-014,萬富村,三星鄉,宜蘭縣,014,ILA,ILA-100
ILA-100-015,10002100-015,大義村,三星鄉,宜蘭縣,015,ILA,ILA-100
ILA-100-016,10002100-016,尚武村,三星鄉,宜蘭縣,016,ILA,ILA-100
ILA-100-017,10002100-017,大洲村,三星鄉,宜蘭縣,017,ILA,ILA-100
ILA-100-018,10002100-018,尾塹村,三星鄉,宜蘭縣,018,ILA,ILA-100
ILA-110-001,10002110-001,寒溪村,大同鄉,宜蘭縣,001,ILA,ILA-110
ILA-110-002,10002110-002,崙埤村,大同鄉,宜蘭縣,002,ILA,ILA-110
ILA-110-003,10002110-003,松羅村,大同鄉,宜蘭縣,003,ILA,ILA-110
ILA-110-004,10002110-004,復興村,大同鄉,宜蘭縣,004,ILA,ILA-110
ILA-110-005,10002110-005,英士村,大同鄉,宜蘭縣,005,ILA,ILA-110
ILA-110-006,10002110-006,樂水村,大同鄉,宜蘭縣,006,ILA,ILA-110
ILA-110-007,10002110-007,太平村,大同鄉,宜蘭縣,007,ILA,ILA-110
ILA-110-008,10002110-008,四季村,大同鄉,宜蘭縣,008,ILA,ILA-110
ILA-110-009,10002110-009,南山村,大同鄉,宜蘭縣,009,ILA,ILA-110
ILA-110-010,10002110-010,茂安村,大同鄉,宜蘭縣,010,ILA,ILA-110
ILA-120-001,10002120-001,南澳村,南澳鄉,宜蘭縣,001,ILA,ILA-120
ILA-120-002,10002120-002,碧候村,南澳鄉,宜蘭縣,002,ILA,ILA-120
ILA-120-003,10002120-003,東岳村,南澳鄉,宜蘭縣,003,ILA,ILA-120
ILA-120-004,10002120-004,金岳村,南澳鄉,宜蘭縣,004,ILA,ILA-120
ILA-120-005,10002120-005,武塔村,南澳鄉,宜蘭縣,005,ILA,ILA-120
ILA-120-006,10002120-006,金洋村,南澳鄉,宜蘭縣,006,ILA,ILA-120
ILA-120-007,10002120-007,澳花村,南澳鄉,宜蘭縣,007,ILA,ILA-120
TAO-010-001,10003010-001,文化里,桃園市,桃園縣,001,TAO,TAO-010
TAO-010-002,10003010-002,文明里,桃園市,桃園縣,002,TAO,TAO-010
TAO-010-003,10003010-003,武陵里,桃園市,桃園縣,003,TAO,TAO-010
TAO-010-004,10003010-004,大林里,桃園市,桃園縣,004,TAO,TAO-010
TAO-010-005,10003010-005,忠義里,桃園市,桃園縣,005,TAO,TAO-010
TAO-010-006,10003010-006,會稽里,桃園市,桃園縣,006,TAO,TAO-010
TAO-010-007,10003010-007,長美里,桃園市,桃園縣,007,TAO,TAO-010
TAO-010-008,10003010-008,民生里,桃園市,桃園縣,008,TAO,TAO-010
TAO-010-009,10003010-009,永興里,桃園市,桃園縣,009,TAO,TAO-010
TAO-010-010,10003010-010,汴洲里,桃園市,桃園縣,010,TAO,TAO-010
TAO-010-011,10003010-011,永安里,桃園市,桃園縣,011,TAO,TAO-010
TAO-010-012,10003010-012,東埔里,桃園市,桃園縣,012,TAO,TAO-010
TAO-010-013,10003010-013,東門里,桃園市,桃園縣,013,TAO,TAO-010
TAO-010-014,10003010-014,東山里,桃園市,桃園縣,014,TAO,TAO-010
TAO-010-015,10003010-015,萬壽里,桃園市,桃園縣,015,TAO,TAO-010
TAO-010-016,10003010-016,長安里,桃園市,桃園縣,016,TAO,TAO-010
TAO-010-017,10003010-017,中埔里,桃園市,桃園縣,017,TAO,TAO-010
TAO-010-018,10003010-018,西埔里,桃園市,桃園縣,018,TAO,TAO-010
TAO-010-019,10003010-019,西門里,桃園市,桃園縣,019,TAO,TAO-010
TAO-010-020,10003010-020,中和里,桃園市,桃園縣,020,TAO,TAO-010
