省市別,縣市別,選區別,鄉鎮市區,投開票所編號,0/候選人得票數,0/當選註記,0/得票率,1/候選人得票數,1/當選註記,1/得票率,2/候選人得票數,2/當選註記,2/得票率,3/候選人得票數,3/當選註記,3/得票率,4/候選人得票數,4/當選註記,4/得票率,5/候選人得票數,5/當選註記,5/得票率,6/候選人得票數,6/當選註記,6/得票率,7/候選人得票數,7/當選註記,7/得票率,8/候選人得票數,8/當選註記,8/得票率,9/候選人得票數,9/當選註記,9/得票率,10/候選人得票數,10/當選註記,10/得票率,11/候選人得票數,11/當選註記,11/得票率,12/候選人得票數,12/當選註記,12/得票率,13/候選人得票數,13/當選註記,13/得票率,14/候選人得票數,14/當選註記,14/得票率,15/候選人得票數,15/當選註記,15/得票率,16/候選人得票數,16/當選註記,16/得票率,17/候選人得票數,17/當選註記,17/得票率,18/候選人得票數,18/當選註記,18/得票率,19/候選人得票數,19/當選註記,19/得票率,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率,應送投開票所數,已送投開票所數
7,02,14,04,0000,217,,21.15,317,*,30.9,277,*,27,215,,20.96,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1026,19,1045,0,1045,396,1441,72.52,9,9
7,02,14,04,0408,6,,15.38,5,*,12.82,13,*,33.33,15,,38.46,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,39,1,40,0,40,10,50,80,1,1
7,02,14,04,0409,4,,10.81,26,*,70.27,1,*,2.7,6,,16.22,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,37,0,37,0,37,12,49,75.51,1,1
7,02,14,04,0410,57,,28.08,51,*,25.12,66,*,32.51,29,,14.29,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,203,2,205,0,205,86,291,70.45,1,1
7,02,14,04,0411,46,,18.18,44,*,17.39,62,*,24.51,101,,39.92,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,253,5,258,0,258,108,366,70.49,1,1
7,02,14,04,0412,99,,21.2,185,*,39.61,126,*,26.98,57,,12.21,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,467,10,477,0,477,176,653,73.05,1,1
7,02,14,04,0413,2,,28.57,1,*,14.29,3,*,42.86,1,,14.29,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,7,1,8,0,8,1,9,88.89,1,1
7,02,14,04,0414,3,,23.08,3,*,23.08,6,*,46.15,1,,7.69,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,13,0,13,0,13,2,15,86.67,1,1
7,02,14,04,0415,0,,0,1,*,25,0,*,0,3,,75,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,4,0,4,0,4,1,5,80,1,1
7,02,14,04,0416,0,,0,1,*,33.33,0,*,0,2,,66.67,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,3,0,3,0,3,0,3,100,1,1
7,07,24,04,0000,687,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,687,157,844,0,844,209,1053,80.15,8,8
7,07,24,04,0606,155,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,155,21,176,0,176,39,215,81.86,1,1
7,07,24,04,0607,93,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,93,14,107,0,107,16,123,86.99,1,1
7,07,24,04,0608,27,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,27,6,33,0,33,9,42,78.57,1,1
7,07,24,04,0609,170,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,170,60,230,0,230,75,305,75.41,1,1
7,07,24,04,0610,107,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,107,17,124,0,124,21,145,85.52,1,1
7,07,24,04,0611,104,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,104,30,134,0,134,40,174,77.01,1,1
7,07,24,04,0612,15,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,15,6,21,0,21,5,26,80.77,1,1
7,07,24,04,0613,16,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,16,3,19,0,19,4,23,82.61,1,1
7,09,01,05,0000,1462,*,47.48,237,,7.7,522,*,16.95,378,,12.28,480,,15.59,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,3079,124,3203,1,3204,2814,6018,53.22,81,81
7,09,01,05,0001,13,*,65,1,,5,2,*,10,2,,10,2,,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,20,3,23,0,23,24,47,48.94,1,1
7,09,01,05,0002,9,*,33.33,3,,11.11,4,*,14.81,5,,18.52,6,,22.22,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,27,4,31,0,31,21,52,59.62,1,1
7,09,01,05,0003,24,*,61.54,1,,2.56,2,*,5.13,2,,5.13,10,,25.64,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,39,2,41,0,41,34,75,54.67,1,1
7,09,01,05,0004,12,*,38.71,3,,9.68,7,*,22.58,3,,9.68,6,,19.35,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,31,1,32,0,32,42,74,43.24,1,1
7,09,01,05,0005,32,*,59.26,7,,12.96,7,*,12.96,5,,9.26,3,,5.56,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,54,2,56,0,56,37,93,60.22,1,1
7,09,01,05,0006,6,*,23.08,1,,3.85,7,*,26.92,6,,23.08,6,,23.08,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,26,1,27,0,27,38,65,41.54,1,1
