省市別,縣市別,選區別,鄉鎮市區,投開票所編號,0/候選人得票數,0/當選註記,0/得票率,1/候選人得票數,1/當選註記,1/得票率,2/候選人得票數,2/當選註記,2/得票率,3/候選人得票數,3/當選註記,3/得票率,4/候選人得票數,4/當選註記,4/得票率,5/候選人得票數,5/當選註記,5/得票率,6/候選人得票數,6/當選註記,6/得票率,7/候選人得票數,7/當選註記,7/得票率,8/候選人得票數,8/當選註記,8/得票率,9/候選人得票數,9/當選註記,9/得票率,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率,應送投開票所數,已送投開票所數
3,00,07,01,0551,187,,13.54,24,*,1.74,235,*,17.02,75,,5.43,41,,2.97,32,,2.32,153,*,11.08,237,*,17.16,397,*,28.75,0,,0,1381,28,1409,0,1409,375,1784,78.98,1,1
3,00,07,01,0552,35,,3.82,67,*,7.31,28,*,3.05,115,,12.54,58,,6.32,90,,9.81,79,*,8.62,357,*,38.93,88,*,9.6,0,,0,917,27,944,0,944,283,1227,76.94,1,1
3,00,07,01,0553,30,,8.38,41,*,11.45,74,*,20.67,32,,8.94,41,,11.45,77,,21.51,17,*,4.75,18,*,5.03,28,*,7.82,0,,0,358,7,365,0,365,120,485,75.26,1,1
3,00,07,01,0554,21,,4.75,264,*,59.73,41,*,9.28,29,,6.56,20,,4.52,16,,3.62,34,*,7.69,7,*,1.58,10,*,2.26,0,,0,442,14,456,0,456,144,600,76,1,1
3,00,07,02,0000,92,,6.13,334,*,22.27,232,,15.47,419,*,27.93,91,,6.07,332,*,22.13,0,,0,0,,0,0,,0,0,,0,1500,25,1525,0,1525,472,1997,76.36,3,3
3,00,07,02,0555,18,,2.79,63,*,9.75,214,,33.13,91,*,14.09,30,,4.64,230,*,35.6,0,,0,0,,0,0,,0,0,,0,646,14,660,0,660,211,871,75.77,1,1
3,00,07,02,0556,69,,16.43,232,*,55.24,15,,3.57,43,*,10.24,14,,3.33,47,*,11.19,0,,0,0,,0,0,,0,0,,0,420,8,428,0,428,128,556,76.98,1,1
3,00,07,02,0557,5,,1.15,39,*,8.99,3,,0.69,285,*,65.67,47,,10.83,55,*,12.67,0,,0,0,,0,0,,0,0,,0,434,3,437,0,437,133,570,76.67,1,1
3,00,07,03,0000,329,*,20.06,309,,18.84,538,*,32.8,104,,6.34,360,*,21.95,0,,0,0,,0,0,,0,0,,0,0,,0,1640,52,1692,0,1692,540,2232,75.81,3,3
3,00,07,03,0558,187,*,39.2,179,,37.53,82,*,17.19,9,,1.89,20,*,4.19,0,,0,0,,0,0,,0,0,,0,0,,0,477,18,495,0,495,140,635,77.95,1,1
3,00,07,03,0559,31,*,7.14,40,,9.22,322,*,74.19,8,,1.84,33,*,7.6,0,,0,0,,0,0,,0,0,,0,0,,0,434,11,445,0,445,90,535,83.18,1,1
3,00,07,03,0560,111,*,15.23,90,,12.35,134,*,18.38,87,,11.93,307,*,42.11,0,,0,0,,0,0,,0,0,,0,0,,0,729,23,752,0,752,310,1062,70.81,1,1
4,00,29,01,0000,660,*,22.59,281,,9.62,567,*,19.4,486,*,16.63,433,*,14.82,495,*,16.94,0,,0,0,,0,0,,0,0,,0,2922,68,2990,0,2990,757,3747,79.8,5,5
4,00,29,01,1521,244,*,33.84,14,,1.94,32,*,4.44,194,*,26.91,188,*,26.07,49,*,6.8,0,,0,0,,0,0,,0,0,,0,721,21,742,0,742,167,909,81.63,1,1
4,00,29,01,1522,128,*,18.21,45,,6.4,45,*,6.4,136,*,19.35,113,*,16.07,236,*,33.57,0,,0,0,,0,0,,0,0,,0,703,13,716,0,716,156,872,82.11,1,1
4,00,29,01,1523,65,*,22.03,35,,11.86,60,*,20.34,66,*,22.37,58,*,19.66,11,*,3.73,0,,0,0,,0,0,,0,0,,0,295,13,308,0,308,121,429,71.79,1,1
4,00,29,01,1524,93,*,12.37,74,,9.84,345,*,45.88,52,*,6.91,46,*,6.12,142,*,18.88,0,,0,0,,0,0,,0,0,,0,752,16,768,0,768,183,951,80.76,1,1
4,00,29,01,1525,130,*,28.82,113,,25.06,85,*,18.85,38,*,8.43,28,*,6.21,57,*,12.64,0,,0,0,,0,0,,0,0,,0,451,5,456,0,456,130,586,77.82,1,1
4,00,29,02,0000,372,*,18.36,598,*,29.52,293,,14.46,265,,13.08,305,*,15.05,193,,9.53,0,,0,0,,0,0,,0,0,,0,2026,30,2056,0,2056,346,2402,85.6,6,6
4,00,29,02,1526,52,*,24.53,59,*,27.83,20,,9.43,49,,23.11,17,*,8.02,15,,7.08,0,,0,0,,0,0,,0,0,,0,212,4,216,0,216,25,241,89.63,1,1
4,00,29,02,1527,28,*,8.09,119,*,34.39,49,,14.16,115,,33.24,22,*,6.36,13,,3.76,0,,0,0,,0,0,,0,0,,0,346,1,347,0,347,65,412,84.22,1,1
4,00,29,02,1528,94,*,36.43,16,*,6.2,99,,38.37,12,,4.65,28,*,10.85,9,,3.49,0,,0,0,,0,0,,0,0,,0,258,3,261,0,261,55,316,82.59,1,1
4,00,29,02,1529,55,*,9.39,252,*,43,90,,15.36,24,,4.1,62,*,10.58,103,,17.58,0,,0,0,,0,0,,0,0,,0,586,15,601,0,601,99,700,85.86,1,1
4,00,29,02,1530,59,*,22.1,141,*,52.81,8,,3,46,,17.23,10,*,3.75,3,,1.12,0,,0,0,,0,0,,0,0,,0,267,3,270,0,270,46,316,85.44,1,1
4,00,29,02,1531,84,*,23.53,11,*,3.08,27,,7.56,19,,5.32,166,*,46.5,50,,14.01,0,,0,0,,0,0,,0,0,,0,357,4,361,0,361,56,417,86.57,1,1
4,00,29,03,0000,274,*,13.91,316,*,16.04,91,,4.62,307,*,15.58,160,,8.12,256,,12.99,143,,7.26,158,,8.02,265,,13.45,0,,0,1970,35,2005,0,2005,630,2635,76.09,5,5
4,00,29,03,1532,31,*,12.6,44,*,17.89,10,,4.07,39,*,15.85,14,,5.69,30,,12.2,16,,6.5,23,,9.35,39,,15.85,0,,0,246,10,256,0,256,85,341,75.07,1,1
4,00,29,03,1533,161,*,18.72,154,*,17.91,72,,8.37,23,*,2.67,96,,11.16,141,,16.4,30,,3.49,21,,2.44,162,,18.84,0,,0,860,17,877,0,877,367,1244,70.5,1,1
4,00,29,03,1534,37,*,19.27,20,*,10.42,4,,2.08,25,*,13.02,32,,16.67,6,,3.13,7,,3.65,15,,7.81,46,,23.96,0,,0,192,2,194,0,194,48,242,80.17,1,1
4,00,29,03,1535,3,*,2.78,26,*,24.07,5,,4.63,19,*,17.59,6,,5.56,32,,29.63,8,,7.41,7,,6.48,2,,1.85,0,,0,108,2,110,0,110,40,150,73.33,1,1
4,00,29,03,1536,42,*,7.45,72,*,12.77,0,,0,201,*,35.64,12,,2.13,47,,8.33,82,,14.54,92,,16.31,16,,2.84,0,,0,564,4,568,0,568,90,658,86.32,1,1
6,00,01,01,0000,168,,9.23,119,,6.53,373,*,20.48,232,*,12.74,365,*,20.04,258,*,14.17,306,*,16.8,0,,0,0,,0,0,,0,1821,30,1851,0,1851,354,2205,83.95,6,6
6,00,01,01,0001,24,,11.65,14,,6.8,44,*,21.36,12,*,5.83,27,*,13.11,18,*,8.74,67,*,32.52,0,,0,0,,0,0,,0,206,4,210,0,210,35,245,85.71,1,1
6,00,01,01,0002,22,,11.28,60,,30.77,21,*,10.77,11,*,5.64,36,*,18.46,18,*,9.23,27,*,13.85,0,,0,0,,0,0,,0,195,5,200,0,200,31,231,86.58,1,1
6,00,01,01,0003,95,,42.41,17,,7.59,18,*,8.04,30,*,13.39,35,*,15.63,10,*,4.46,19,*,8.48,0,,0,0,,0,0,,0,224,2,226,0,226,39,265,85.28,1,1
6,00,01,01,0004,13,,7.03,11,,5.95,17,*,9.19,11,*,5.95,90,*,48.65,28,*,15.14,15,*,8.11,0,,0,0,,0,0,,0,185,2,187,0,187,16,203,92.12,1,1
6,00,01,01,0005,5,,0.88,9,,1.59,39,*,6.89,143,*,25.27,98,*,17.31,148,*,26.15,124,*,21.91,0,,0,0,,0,0,,0,566,10,576,0,576,130,706,81.59,1,1
6,00,01,01,0006,9,,2.02,8,,1.8,234,*,52.58,25,*,5.62,79,*,17.75,36,*,8.09,54,*,12.13,0,,0,0,,0,0,,0,445,7,452,0,452,103,555,81.44,1,1
6,00,01,02,0000,255,*,31.8,170,,21.2,179,,22.32,198,*,24.69,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,802,12,814,0,814,202,1016,80.12,2,2
6,00,01,02,0007,55,*,12.09,164,,36.04,68,,14.95,168,*,36.92,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,455,4,459,0,459,111,570,80.53,1,1
6,00,01,02,0008,200,*,57.64,6,,1.73,111,,31.99,30,*,8.65,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,347,8,355,0,355,91,446,79.6,1,1
6,00,02,01,0000,134,*,12.55,105,,9.83,114,,10.67,131,*,12.27,181,*,16.95,104,,9.74,108,,10.11,191,*,17.88,0,,0,0,,0,1068,23,1091,0,1091,146,1237,88.2,2,2
6,00,02,01,0009,82,*,13.31,74,,12.01,89,,14.45,100,*,16.23,41,*,6.66,89,,14.45,39,,6.33,102,*,16.56,0,,0,0,,0,616,11,627,0,627,71,698,89.83,1,1
6,00,02,01,0010,52,*,11.5,31,,6.86,25,,5.53,31,*,6.86,140,*,30.97,15,,3.32,69,,15.27,89,*,19.69,0,,0,0,,0,452,12,464,0,464,75,539,86.09,1,1
6,00,02,02,0000,182,,19.91,310,*,33.92,217,*,23.74,205,*,22.43,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,914,10,924,0,924,150,1074,86.03,2,2
6,00,02,02,0011,171,,35.11,43,*,8.83,196,*,40.25,77,*,15.81,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,487,4,491,0,491,74,565,86.9,1,1
6,00,02,02,0012,11,,2.58,267,*,62.53,21,*,4.92,128,*,29.98,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,427,6,433,0,433,76,509,85.07,1,1
6,00,09,01,0000,108,*,15.17,128,*,17.98,57,,8.01,103,*,14.47,96,,13.48,127,*,17.84,93,,13.06,0,,0,0,,0,0,,0,712,5,717,0,717,70,787,91.11,2,2
6,00,09,01,0127,15,*,3.72,25,*,6.2,51,,12.66,94,*,23.33,94,,23.33,116,*,28.78,8,,1.99,0,,0,0,,0,0,,0,403,2,405,0,405,40,445,91.01,1,1
6,00,09,01,0128,93,*,30.1,103,*,33.33,6,,1.94,9,*,2.91,2,,0.65,11,*,3.56,85,,27.51,0,,0,0,,0,0,,0,309,3,312,0,312,30,342,91.23,1,1
6,00,09,02,0000,142,*,23.83,47,,7.89,103,,17.28,38,,6.38,123,*,20.64,143,*,23.99,0,,0,0,,0,0,,0,0,,0,596,10,606,0,606,56,662,91.54,1,1
6,00,09,02,0129,142,*,23.83,47,,7.89,103,,17.28,38,,6.38,123,*,20.64,143,*,23.99,0,,0,0,,0,0,,0,0,,0,596,10,606,0,606,56,662,91.54,1,1
