省市別,縣市別,選區別,鄉鎮市區,投開票所編號,0/候選人得票數,0/當選註記,0/得票率,1/候選人得票數,1/當選註記,1/得票率,2/候選人得票數,2/當選註記,2/得票率,3/候選人得票數,3/當選註記,3/得票率,4/候選人得票數,4/當選註記,4/得票率,5/候選人得票數,5/當選註記,5/得票率,6/候選人得票數,6/當選註記,6/得票率,7/候選人得票數,7/當選註記,7/得票率,8/候選人得票數,8/當選註記,8/得票率,9/候選人得票數,9/當選註記,9/得票率,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率,應送投開票所數,已送投開票所數
2,00,22,01,0000,17,,1.45,303,,25.9,358,*,30.6,144,,12.31,348,*,29.74,0,,0,0,,0,0,,0,0,,0,0,,0,1170,29,1199,0,1199,213,1412,84.92,1,1
2,00,22,01,2161,17,,1.45,303,,25.9,358,*,30.6,144,,12.31,348,*,29.74,0,,0,0,,0,0,,0,0,,0,0,,0,1170,29,1199,0,1199,213,1412,84.92,1,1
2,00,22,02,0000,240,*,12.88,286,*,15.35,135,,7.25,163,,8.75,225,*,12.08,185,,9.93,199,,10.68,207,,11.11,223,,11.97,0,,0,1863,35,1898,0,1898,438,2336,81.25,3,3
2,00,22,02,2162,119,*,13.45,176,*,19.89,40,,4.52,85,,9.6,160,*,18.08,69,,7.8,136,,15.37,54,,6.1,46,,5.2,0,,0,885,14,899,0,899,219,1118,80.41,1,1
2,00,22,02,2163,105,*,13.43,100,*,12.79,83,,10.61,77,,9.85,58,*,7.42,115,,14.71,58,,7.42,20,,2.56,166,,21.23,0,,0,782,13,795,0,795,192,987,80.55,1,1
2,00,22,02,2164,16,*,8.16,10,*,5.1,12,,6.12,1,,0.51,7,*,3.57,1,,0.51,5,,2.55,133,,67.86,11,,5.61,0,,0,196,8,204,0,204,27,231,88.31,1,1
2,00,22,03,0000,309,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,309,31,340,0,340,144,484,70.25,1,1
2,00,22,03,2165,309,*,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,309,31,340,0,340,144,484,70.25,1,1
2,00,22,04,0000,169,,37.06,287,*,62.94,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,456,8,464,0,464,56,520,89.23,1,1
2,00,22,04,2166,169,,37.06,287,*,62.94,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,456,8,464,0,464,56,520,89.23,1,1
3,00,07,01,0000,273,,8.81,396,*,12.78,378,*,12.2,251,,8.1,160,,5.16,215,,6.94,283,*,9.13,619,*,19.98,523,*,16.88,0,,0,3098,76,3174,0,3174,922,4096,77.49,4,4
