09007010-001,2014連江縣南竿鄉介壽村,陳美貴,中國國民黨
09007010-002,2014連江縣南竿鄉復興村,曹爾嵐,中國國民黨
09007010-003,2014連江縣南竿鄉福沃村,陳泰英,中國國民黨
09007010-004,2014連江縣南竿鄉清水村,陳善安,中國國民黨
09007010-005,2014連江縣南竿鄉仁愛村,黃寶清,中國國民黨
09007010-006,2014連江縣南竿鄉津沙村,李木菁,無
09007010-007,2014連江縣南竿鄉馬祖村,陳高玲,中國國民黨
09007010-008,2014連江縣南竿鄉珠螺村,陳常玉,無
09007010-009,2014連江縣南竿鄉四維村,侯全寶,中國國民黨
09007020-001,2014連江縣北竿鄉塘岐村,陳嘉文,中國國民黨
09007020-002,2014連江縣北竿鄉后沃村,陳鈺麟,中國國民黨
09007020-003,2014連江縣北竿鄉橋仔村,陳麗君,中國國民黨
09007020-004,2014連江縣北竿鄉芹壁村,陳世飛,中國國民黨
09007020-005,2014連江縣北竿鄉坂里村,王禮好,中國國民黨
09007020-006,2014連江縣北竿鄉白沙村,王若蓉,中國國民黨
09007030-001,2014連江縣莒光鄉青帆村,陳秉傑,中國國民黨
09007030-002,2014連江縣莒光鄉田沃村,林順雄,中國國民黨
09007030-003,2014連江縣莒光鄉西坵村,陳家信,無
09007030-004,2014連江縣莒光鄉福正村,鄭光武,中國國民黨
09007030-005,2014連江縣莒光鄉大坪村,鄭智新,中國國民黨
09007040-001,2014連江縣東引鄉中柳村,劉家宏,中國國民黨
09007040-002,2014連江縣東引鄉樂華村,曹恆勇,中國國民黨
09020010-001,2014金門縣金城鎮東門里,蔡祥坤,中國國民黨
09020010-002,2014金門縣金城鎮西門里,楊雨川,中國國民黨
09020010-003,2014金門縣金城鎮南門里,楊耀芸,無
09020010-004,2014金門縣金城鎮北門里,許績才,中國國民黨
09020010-005,2014金門縣金城鎮古城里,董華安,中國國民黨
09020010-006,2014金門縣金城鎮金水里,黃國民,中國國民黨
09020010-007,2014金門縣金城鎮珠沙里,歐贊隊,中國國民黨
09020010-008,2014金門縣金城鎮賢庵里,盧志嶢,中國國民黨
09020020-001,2014金門縣金沙鎮汶沙里,張瀚龍,中國國民黨
09020020-002,2014金門縣金沙鎮三山里,陳賜發,中國國民黨
09020020-003,2014金門縣金沙鎮大洋里,吳有泰,中國國民黨
09020020-004,2014金門縣金沙鎮光前里,翁麗治,中國國民黨
09020020-005,2014金門縣金沙鎮何斗里,陳金德,中國國民黨
09020020-006,2014金門縣金沙鎮西園里,黃木林,無
09020020-007,2014金門縣金沙鎮官嶼里,楊恭勤,中國國民黨
09020020-008,2014金門縣金沙鎮浦山里,周家才,中國國民黨
09020030-001,2014金門縣金湖鎮新市里,吳志成,中國國民黨
09020030-002,2014金門縣金湖鎮山外里,陳晚開,中國國民黨
09020030-003,2014金門縣金湖鎮正義里,陳偃武,中國國民黨
09020030-004,2014金門縣金湖鎮料羅里,謝慶閣,中國國民黨
09020030-005,2014金門縣金湖鎮瓊林里,蔡顯明,中國國民黨
09020030-006,2014金門縣金湖鎮新湖里,陳文顧,中國國民黨
09020030-007,2014金門縣金湖鎮溪湖里,呂光河,中國國民黨
09020030-008,2014金門縣金湖鎮蓮庵里,呂玉華,中國國民黨
09020040-001,2014金門縣金寧鄉古寧村,李朝金,中國國民黨
09020040-002,2014金門縣金寧鄉安美村,蔡輝進,中國國民黨
09020040-003,2014金門縣金寧鄉后盤村,許明吉,中國國民黨
09020040-004,2014金門縣金寧鄉湖埔村,楊振嵩,中國國民黨
09020040-005,2014金門縣金寧鄉榜林村,楊龍傳,中國國民黨
09020040-006,2014金門縣金寧鄉盤山村,翁明海,無
09020050-001,2014金門縣烈嶼鄉上岐村,洪天南,中國國民黨
09020050-002,2014金門縣烈嶼鄉上林村,林建進,中國國民黨
09020050-003,2014金門縣烈嶼鄉西口村,蔡福榮,中國國民黨
09020050-004,2014金門縣烈嶼鄉林湖村,林開興,中國國民黨
09020050-005,2014金門縣烈嶼鄉黃埔村,方耀年,中國國民黨
09020060-001,2014金門縣烏坵鄉大坵村,林文彩,中國國民黨
09020060-002,2014金門縣烏坵鄉小坵村,高金鳳,中國國民黨
10002010-001,2014宜蘭縣宜蘭市神農里,黃文龍,中國國民黨
10002010-002,2014宜蘭縣宜蘭市民權里,尤榮淋,無
10002010-008,2014宜蘭縣宜蘭市進士里,陳正達,中國國民黨
10002010-009,2014宜蘭縣宜蘭市南橋里,林慶雲,無
10002010-010,2014宜蘭縣宜蘭市建業里,李永,無
10002010-011,2014宜蘭縣宜蘭市南津里,林聰明,無
10002010-012,2014宜蘭縣宜蘭市凱旋里,林振雄,無
10002010-013,2014宜蘭縣宜蘭市黎明里,林正義,無
10002010-014,2014宜蘭縣宜蘭市東村里,林讚生,無
10002010-015,2014宜蘭縣宜蘭市延平里,林水蓮,中國國民黨
10002010-016,2014宜蘭縣宜蘭市七張里,林忠勝,無
10002010-017,2014宜蘭縣宜蘭市慈安里,周阿通,無
10002010-018,2014宜蘭縣宜蘭市新民里,黃茂林,無
10002010-019,2014宜蘭縣宜蘭市東門里,邱明芳,無
10002010-021,2014宜蘭縣宜蘭市小東里,徐佳庭,無
10002010-022,2014宜蘭縣宜蘭市菜園里,簡茂隆,無
10002010-023,2014宜蘭縣宜蘭市孝廉里,吳健義,無
10002010-024,2014宜蘭縣宜蘭市新生里,蔡錦濤,無
10002010-025,2014宜蘭縣宜蘭市茭白里,王溪東,民主進步黨
10002010-026,2014宜蘭縣宜蘭市北津里,吳阿松,無
10002010-027,2014宜蘭縣宜蘭市梅洲里,陳慶宗,無
10002010-028,2014宜蘭縣宜蘭市北門里,羅碧文,無
10002010-031,2014宜蘭縣宜蘭市中山里,黃正次,無
10002010-032,2014宜蘭縣宜蘭市西門里,林銘信,無
10002010-034,2014宜蘭縣宜蘭市南門里,王紹龍,無
10002010-035,2014宜蘭縣宜蘭市負郭里,劉正田,無
10002010-036,2014宜蘭縣宜蘭市民族里,游泳林,無
10002010-037,2014宜蘭縣宜蘭市建軍里,潘茂申,無
10002010-038,2014宜蘭縣宜蘭市思源里,曾南國,無
10002010-039,2014宜蘭縣宜蘭市文化里,陳志鴻,無
10002010-040,2014宜蘭縣宜蘭市復興里,蕭壽金,中國國民黨
10002010-041,2014宜蘭縣宜蘭市成功里,楊振乾,無
10002010-042,2014宜蘭縣宜蘭市新東里,林吉雄,中國國民黨
10002010-043,2014宜蘭縣宜蘭市七結里,游景清,無
