選舉區,號次,姓名,性別,出生年月日,年齡,推薦之政黨,學歷,是否現任,英文姓名,出生地
金門縣,3,陳福海,男,052/06/03,51,無,碩士,否,,金馬地區
金門縣,4,李沃士,男,049/04/01,54,中國國民黨,碩士,是,Li Wo Shih,金馬地區
金門縣,5,汪成華,女,049/10/07,54,教科文預算保障e聯盟,碩士,否,,新北市
金門縣,6,洪志恒,男,057/10/07,46,無,大學,否,,金馬地區
金門縣,7,莊育民,男,059/06/25,44,無,高中,否,,金馬地區
金門縣,8,林水泉,男,037/08/26,66,無,其他,否,Lin Suei Chuan,金馬地區
金門縣,9,許乃權,男,045/12/15,57,無,大學,否,SHIU NAI Chiuan,金馬地區
金門縣,10,楊榮祥,男,042/10/08,61,無,高中,否,,金馬地區
連江縣,1,劉增應,男,047/08/24,56,中國國民黨,碩士,否,liu cheng ying,金馬地區
連江縣,2,楊綏生,男,043/11/10,60,中國國民黨,大學,是,YANG SUEI SHENG,金馬地區
基隆市,1,謝立功,男,050/05/10,53,中國國民黨,博士,否,HSIEH LI KUNG,臺北市
基隆市,2,黃景泰,男,054/11/05,49,無,碩士,否,,臺灣省
基隆市,3,林右昌,男,060/03/10,43,民主進步黨,碩士,否,LIN YU CHANG,臺灣省
基隆市,4,何燕堂,男,054/11/13,49,人民民主陣線,大學,否,HO YEN TANG,臺灣省
基隆市,5,吳武明,男,046/06/13,57,無,博士,否,WU WOO MIN,臺北市
基隆市,6,江鑒育,男,049/03/11,54,無,專科,否,,其他省市
新竹市,1,劉正幸,男,044/11/26,59,無,大學,否,LIU CHENG HSING,臺灣省
新竹市,2,許明財,男,042/06/13,61,中國國民黨,碩士,是,HSU MING TSAI,臺灣省
新竹市,3,蔡仁堅,男,041/10/27,62,無,碩士,否,TSAI JEN CHIEN,臺灣省
新竹市,4,林智堅,男,064/05/27,39,民主進步黨,碩士,否,LIN CHIHCIEN,臺灣省
新竹市,5,吳淑敏,女,054/08/29,49,無,碩士,否,WU SHU MIN,臺灣省
嘉義市,1,陳秀麗,女,037/10/23,66,無,其他,否,,臺灣省
嘉義市,2,陳泰山,男,038/10/05,65,無,碩士,否,CHEN TAI SHAN,臺灣省
嘉義市,3,陳以真,女,066/01/25,37,中國國民黨,大學,否,CHEN YI CHEN,臺北市
嘉義市,4,涂醒哲,男,040/06/17,63,民主進步黨,博士,否,TWU SHIING JER,臺灣省
嘉義市,5,許文建,男,049/07/06,54,無,高中,否,SHEU JIA MING,臺灣省
嘉義市,6,林詩涵,女,070/11/01,33,人民民主陣線,大學,否,,臺中市
