選舉區,號次,姓名,性別,出生年月日,年齡,推薦之政黨,學歷,是否現任,英文姓名,出生地
臺北市,1,陳汝斌,男,026/09/02,77,三等國民公義人權自救黨,高中,否,Chen Ju Pin,臺中市
臺北市,2,趙衍慶,男,025/10/07,78,無,其他,否,Chao yen ching,其他省市
臺北市,3,李宏信,男,029/11/19,74,無,大學,否,LEE Hong Hsin,臺北市
臺北市,4,陳永昌,男,041/05/03,62,無,其他,否,Chen yong c.,臺灣省
臺北市,5,馮光遠,男,042/09/23,61,無,其他,否,PENG NEIL,臺北市
臺北市,6,連勝文,男,059/02/03,44,中國國民黨,博士,否,Lien Sheng Wen Sean,臺北市
臺北市,7,柯文哲,男,048/08/06,55,無,博士,否,Ko Wen Je,臺灣省
新北市,1,游錫堃,男,037/04/25,66,民主進步黨,大學,否,You Si Kun,臺灣省
新北市,2,李進順,男,049/04/15,54,無,專科,否,Li Chin Shun,新北市
新北市,3,朱立倫,男,050/06/07,53,中國國民黨,博士,是,Chu Li Liun,臺灣省
桃園市,1,鄭文燦,男,056/07/06,47,民主進步黨,碩士,否,Cheng Wen Tsan,臺灣省
桃園市,2,吳志揚,男,058/02/08,45,中國國民黨,碩士,是,WU CHIH YANG,臺灣省
桃園市,3,許睿智,男,027/01/20,76,無,高中,否,HSU JUI CHIH,臺灣省
臺中市,1,胡志強,男,037/05/15,66,中國國民黨,博士,是,HU CHIH CHIANG,其他省市
臺中市,2,林佳龍,男,053/02/13,50,民主進步黨,博士,否,Lin chia lung,臺北市
臺南市,1,賴清德,男,048/10/06,55,民主進步黨,碩士,是,Lai Ching Te,新北市
臺南市,2,黃秀霜,女,050/02/20,53,中國國民黨,碩士,否,Huang Hsiu Shuang,臺灣省
高雄市,1,周可盛,男,046/08/04,57,無,大學,否,Chou Ko Sheng,高雄市
高雄市,2,陳菊,女,039/06/10,64,民主進步黨,碩士,是,CHEN CHU,臺灣省
高雄市,3,楊秋興,男,045/05/15,58,中國國民黨,碩士,否,Yang Chiu Hsimg,高雄市
新竹縣,1,葉芳棟,男,058/11/01,45,無,專科,否,YEH FANG TUNG,臺北市
新竹縣,2,邱鏡淳,男,038/12/08,64,中國國民黨,碩士,是,CHIU CHING CHUN,臺灣省
新竹縣,3,鄭永金,男,038/10/08,65,無,碩士,否,CHENG YUNG CHIN,臺灣省
新竹縣,4,莊作兵,男,022/06/15,81,無,高中,否,CHUANG TSO BIN,臺灣省
苗栗縣,1,徐耀昌,男,044/06/30,59,中國國民黨,碩士,否,,臺灣省
苗栗縣,2,康世儒,男,053/01/16,50,無,專科,否,,臺灣省
苗栗縣,3,江明修,男,048/03/22,55,無,博士,否,,臺灣省
苗栗縣,4,陳淑芬,女,049/11/02,54,無,大學,否,,臺灣省
苗栗縣,5,曾國良,男,051/10/25,52,無,碩士,否,,臺灣省
苗栗縣,6,吳宜臻,女,059/04/23,44,民主進步黨,碩士,否,,新北市
彰化縣,1,黃文玲,女,058/08/11,45,無,碩士,否,HUANG WEN LING,臺北市
彰化縣,2,洪敏雄,男,050/10/19,53,無,碩士,否,HUNG MIN HSIUNG,臺灣省
彰化縣,3,魏明谷,男,052/03/18,51,民主進步黨,碩士,否,WEI MING KU,臺灣省
彰化縣,4,林滄敏,男,047/01/01,56,中國國民黨,碩士,否,LIN TSANG MIN,臺灣省
南投縣,1,李文忠,男,047/06/20,56,民主進步黨,高中,否,,臺灣省
南投縣,2,林明溱,男,040/02/13,63,中國國民黨,碩士,否,,臺灣省
雲林縣,1,張麗善,女,053/01/01,50,中國國民黨,碩士,否,CHANG LI SHAN,臺灣省
雲林縣,2,李進勇,男,040/08/01,63,民主進步黨,碩士,否,LEE CHIN YUNG,臺灣省
嘉義縣,1,黃宏成台灣阿成世界偉人,男,057/03/20,46,無,大學,否,HuangChenTaiwanAnChenWorldGreatPerson,臺灣省
嘉義縣,2,張花冠,女,043/07/07,60,民主進步黨,碩士,是,CHANG HWA KUAN,臺灣省
嘉義縣,3,翁重鈞,男,044/05/31,59,中國國民黨,碩士,否,WONG CHUNG CHUN,臺灣省
屏東縣,1,簡太郎,男,036/02/15,67,中國國民黨,大學,否,CHIEN TAI LANG,臺灣省
屏東縣,2,潘孟安,男,052/08/15,51,民主進步黨,碩士,否,PAN MENG AN,臺灣省
宜蘭縣,1,林聰賢,男,051/02/22,52,民主進步黨,碩士,是,Lin Tsung Hsien,臺灣省
宜蘭縣,2,邱淑媞,女,051/10/17,52,中國國民黨,博士,否,Chiou Shu Ti,臺南市
花蓮縣,1,傅崐萁,男,051/05/08,52,無,碩士,是,FU KUN CHI,臺中市
花蓮縣,2,徐榛蔚,女,057/10/12,46,無,大學,否,HSU CHEN WEI,臺灣省
花蓮縣,3,黄師鵬,男,046/07/18,57,無,大學,否,HUANG SHIH PENG,臺灣省
花蓮縣,4,柯賜海,男,045/03/04,58,無,其他,否,,臺南市
花蓮縣,5,朱國華,男,048/06/17,55,無,專科,否,,臺灣省
花蓮縣,6,蔡啟塔,男,047/10/09,56,中國國民黨,其他,否,TSAI CHI TA,臺灣省
臺東縣,1,劉櫂豪,男,056/02/02,47,民主進步黨,大學,否,Liu ChaoHao,臺灣省
臺東縣,2,黃健庭,男,048/11/06,55,中國國民黨,碩士,是,Huang Justin,臺灣省
澎湖縣,1,陳光復,男,044/10/25,59,民主進步黨,高中,否,,臺灣省
澎湖縣,2,蘇崑雄,男,045/04/07,58,中國國民黨,碩士,否,,臺灣省
金門縣,1,蘇龍科,男,049/01/08,54,無,大學,否,,臺中市
金門縣,2,雷由靖,男,050/03/29,53,無,高中,否,,臺灣省
